custom_id,data_id,data_id_reason,data_id_confidence,indep_var,indep_var_reason,indep_var_confidence,METHOD_empirical,METHOD_empirical_reason,METHOD_empirical_confidence,METHOD_experiment,METHOD_experiment_reason,METHOD_experiment_confidence,METHOD_lab,METHOD_lab_reason,METHOD_lab_confidence,METHOD_simulation,METHOD_simulation_reason,METHOD_simulation_confidence,METHOD_analytical,METHOD_analytical_reason,METHOD_analytical_confidence,CONFIG_playerCount,CONFIG_playerCount_reason,CONFIG_playerCount_confidence,CONFIG_numRounds,CONFIG_numRounds_reason,CONFIG_numRounds_confidence,CONFIG_allOrNothing,CONFIG_allOrNothing_reason,CONFIG_allOrNothing_confidence,CONFIG_defaultContribProp,CONFIG_defaultContribProp_reason,CONFIG_defaultContribProp_confidence,CONFIG_MPCR,CONFIG_MPCR_reason,CONFIG_MPCR_confidence,CONFIG_chat,CONFIG_chat_reason,CONFIG_chat_confidence,CONFIG_showOtherSummaries,CONFIG_showOtherSummaries_reason,CONFIG_showOtherSummaries_confidence,CONFIG_showPunishmentId,CONFIG_showPunishmentId_reason,CONFIG_showPunishmentId_confidence,CONFIG_showRewardId,CONFIG_showRewardId_reason,CONFIG_showRewardId_confidence,CONFIG_showNRounds,CONFIG_showNRounds_reason,CONFIG_showNRounds_confidence,CONFIG_punishmentExists,CONFIG_punishmentExists_reason,CONFIG_punishmentExists_confidence,CONFIG_punishmentCost,CONFIG_punishmentCost_reason,CONFIG_punishmentCost_confidence,CONFIG_punishmentTech,CONFIG_punishmentTech_reason,CONFIG_punishmentTech_confidence,CONFIG_rewardExists,CONFIG_rewardExists_reason,CONFIG_rewardExists_confidence,CONFIG_rewardCost,CONFIG_rewardCost_reason,CONFIG_rewardCost_confidence,CONFIG_rewardTech,CONFIG_rewardTech_reason,CONFIG_rewardTech_confidence,CONFIG_endowment,CONFIG_endowment_reason,CONFIG_endowment_confidence,DV_contributionRate,DV_contributionRate_reason,DV_contributionRate_confidence,DV_contributionAmount,DV_contributionAmount_reason,DV_contributionAmount_confidence,DV_efficiency,DV_efficiency_reason,DV_efficiency_confidence,DV_groupPayoff,DV_groupPayoff_reason,DV_groupPayoff_confidence,participant_country,participant_country_reason,participant_country_confidence,participant_age,participant_age_reason,participant_age_confidence,participant_gender,participant_gender_reason,participant_gender_confidence,participant_education,participant_education_reason,participant_education_confidence,experiment_environment,experiment_environment_reason,experiment_environment_confidence,other_game_info,other_game_info_reason,other_game_info_confidence
10.1016_j.evolhumbehav.2006.06.001.md,Experiment 1 – Anonymous punishment condition,Stage 2 of Experiment 1 has two treatment conditions: Anonymous and Experimenter; this row is the Anonymous condition.,1,"Audience knowledge of punishment decision: Anonymous (no one, including experimenter, can link individual to punishment amount).",Independent variable is anonymity vs experimenter knowing the decision in the punishment stage.,1,True,Uses undergraduate participants making real monetary decisions.,1,True,Controlled lab experiment with random assignment to conditions.,1,True,Conducted in Penn Laboratory for Evolutionary Experimental Psychology.,1,False,No computational or agent-based simulation described.,1,False,No formal mathematical modeling as a standalone method.,1,1,Each Stage 2 participant makes an individual punishment decision about a fixed DM2; decisions are not interactive within a group.,0.9,1,Single one-shot punishment decision.,1,1,"Participants can spend any amount from $0 to $7 in $1 increments, i.e., a continuous range, not all-or-nothing.",1,0,Not a contribution game; all endowment initially in participant’s private account.,0.9,N/R,Not a standard public goods or contribution game with MPCR defined.,0,0,No communication among participants is mentioned; sessions done via instructions and envelopes.,0.9,0,Participants are not told any summary statistics of others’ punishment decisions or earnings.,0.9,0,"Design emphasizes that no one, including experimenter, can know individual punishment amounts.",1,0,No reward mechanism exists in the design.,1,0,One-shot decision; no mention of displaying number of rounds.,1,1,Participants can pay to reduce DM2’s payoff.,1,1,Each $1 spent by participant reduces DM2’s payoff by $3; cost to punisher is $1.,1,3,Each $1 spent yields a $3 reduction in DM2’s payoff.,1,0,Only deductions from DM2 are possible; no way to increase DM2’s payoff.,1,N/A,No reward option is present.,1,N/A,No reward option is present.,1,7,Stage 2 participants were given $7 and could spend $0–7 on deductions.,1,0.191,"Mean punishment in Fig. 1 is not given numerically; text notes average earnings $8.48 with $3 show-up, implying ~$5.48 kept and ~$1.52 spent on punishment across both conditions. Using Anonymous share punishing (38%) and visual inspection, approximate mean for Anonymous is about $1.34; normalized by $7 yields ~0.191. This is an estimate.",0.2,N/R,Exact mean punishment in dollars for Anonymous condition is not reported.,0,N/R,No efficiency or payoff ratio relative to maximum is reported for this punishment stage.,0,N/R,"No group payoff aggregating DM1, DM2, and third party is reported.",0,USA,Participants are undergraduates at University of Pennsylvania in the United States.,1,N/R,Experiment 1 explicitly states that no demographic information was collected.,1,N/R,Experiment 1 reports that no demographic information was collected.,1,Undergraduate students,Described as undergraduates at the University of Pennsylvania.,1,On site,Conducted in a physical lab (PLEEP) with partitions and paper-and-pencil decisions.,1,"Third-party punishment of a single Trust Game outcome where DM1 trusted and DM2 chose maximally selfish (US$1, US$39). Punishment averaged across third parties is applied to DM2’s payoff; Trust Game itself has DM1 and DM2 payoffs varying across 5 games, but Stage 2 only uses one photocopied outcome.",Summarizes structure of underlying Trust Game and the way the stimulus for punishment was generated.,1
10.1016_j.evolhumbehav.2006.06.001.md,Experiment 1 – Experimenter-knows punishment condition,Stage 2 of Experiment 1 has two treatment conditions: Anonymous and Experimenter; this row is the Experimenter condition.,1,Audience knowledge of punishment decision: Experimenter condition (punishment amount known to experimenter during counting).,Independent variable is whether experimenter knows individual punishment decisions.,1,True,Uses human undergraduates making incentivized decisions.,1,True,Participants randomly assigned to conditions in a controlled setting.,1,True,Sessions held in the Penn Laboratory for Evolutionary Experimental Psychology.,1,False,No simulation without human subjects.,1,False,No purely analytical modeling used as a method.,1,1,Each participant independently chooses punishment against the fixed DM2 outcome.,0.9,1,Each participant makes a single punishment decision.,1,1,"Allowed to spend any portion of $7 in $1 increments: continuous choice, not all-or-nothing.",1,0,All $7 starts as participant’s private money; they may give up some to deduct from DM2.,0.9,N/R,Not a linear public goods game; MPCR not defined.,0,0,No opportunity for communication among participants is mentioned.,0.9,0,No summaries of others’ decisions/earnings are shown.,0.9,1,Experimenter meets participant and counts the amount spent; experimenter can link identity to punishment.,1,0,No reward mechanism present.,1,0,Single-shot task; no mention of displaying number of rounds.,1,1,Participants can pay to deduct from DM2’s payoff.,1,1,Each $1 the participant spends costs them $1.,1,3,Each $1 spent reduces DM2’s payoff by $3.,1,0,"Design includes only deductions, not rewards.",1,N/A,No reward option exists.,1,N/A,No reward option exists.,1,7,Stage 2 participants are given $7 to allocate between self and deductions.,1,0.271,The exact mean punishment is not reported; visual inspection of Fig. 1 and the text indicating higher punishment than Anonymous plus average earnings suggest roughly around $1.9 of $7; normalized gives ~0.271. This is an approximate inference.,0.2,N/R,"Paper provides only percentages of punishers and nonparametric test statistics, no mean in dollars per condition.",0,N/R,No efficiency statistics relative to maximum payoff are reported.,0,N/R,No group-level payoff measure for this condition is reported.,0,USA,Undergraduates at University of Pennsylvania in the United States.,1,N/R,Experiment 1 collected no demographic information to preserve anonymity.,1,N/R,No demographic information collected.,1,Undergraduate students,Participants recruited as undergraduates at the University of Pennsylvania.,1,On site,Sessions held in a physical university laboratory (PLEEP).,1,"Third-party punishment of a Trust Game outcome: DM1 trusted (moved down) and DM2 chose maximally selfish (US$1, US$39). Same photocopied outcome is presented to all punishers; their deductions are averaged to reduce that DM2’s payoff.",Summarizes underlying Trust Game stimulus and averaging of punishments.,1
10.1016_j.evolhumbehav.2006.06.001.md,Experiment 2 – Anonymous punishment condition,"Experiment 2 Stage 2 has three punishment conditions: Anonymous, Experimenter, and Participants; this row is the Anonymous condition.",1,Audience knowledge of punishment decision: Anonymous (participants told no one can link them individually to punishment amount).,Independent variable manipulated is who will know their punishment decisions; this level is anonymity.,1,True,Undergraduates make real monetary decisions in a lab study.,1,True,Controlled experimental design with treatment conditions.,1,True,"Conducted in sessions similar to Experiment 1, in the same lab context.",0.95,False,No agent-based or numerical simulation used.,1,False,No purely analytical model presented as the main method.,1,1,Each Stage 2 participant independently punishes a single DM2 from Stage 1; no group interaction.,0.9,1,Each participant makes one punishment decision.,1,1,Participants can spend any amount from $0 to $10 in $1 increments.,1,0,All of the $10 decision endowment initially belongs to the participant.,0.9,N/R,This is not a linear public good with an MPCR parameter.,0,0,No communication among participants is described in the Anonymous condition.,0.9,0,Participants are not told any summary statistics of others’ punishment behavior.,0.9,0,Design mirrors Experiment 1 Anonymous condition where no one can know specific individuals’ punishment amounts.,0.95,0,No reward option for DM2 exists.,1,0,Single decision; no explicit display of total rounds.,1,1,Participants can spend money to deduct from DM2’s payoff.,1,1,Each $1 spent to punish costs the participant $1.,1,3,Each dollar spent reduces DM2’s payoff by $3.,1,0,No mechanism to increase DM2’s payoff.,1,N/A,No reward mechanism exists.,1,N/A,No reward mechanism exists.,1,10,Stage 2 participants have an endowment of $10 in $1 bills to allocate; $5 is described as show-up payment but the decision-relevant pool is $10.,1,0.106,"Mean expenditure on punishment is reported as $1.06 with a possible maximum of $10, giving 1.06/10 = 0.106.",1,1.06,Text: “The mean (S.D.) expenditure on punishment was US$1.06 (1.65)” for Anonymous condition.,1,N/R,No efficiency measure (payoff vs maximum) is reported for this punishment game.,0,N/R,Paper does not report combined DM2 plus punisher payoffs per condition.,0,USA,Participants are undergraduates at University of Pennsylvania (USA).,1,"Mean 21 (SD 3), minimum 18","Experiment 2 reports: all participants at least 18, mean age 21 (3).",1,"72 female, 31 male (pooled across all Experiment 2 conditions)","Experiment 2 sample is 72 female, 31 male; allocation by condition is not given.",0.9,Undergraduate students,Described as undergraduates at the University of Pennsylvania.,1,On site,Seven experimental sessions held with participants physically present; prior experiment specifies a lab setting.,0.95,"Third-party punishment of a sequential Prisoner’s Dilemma outcome where DM1 cooperates and DM2 defects in a game with payoffs: Cooperate-Defect (0, 30), Defect-Cooperate (30, 0), mutual cooperation payoff in selected game (25, 25). Punishers see this single Cooperate-Defect outcome and can spend $0–10 to reduce DM2’s payoff by $3 per $1 spent.",Summarizes the underlying PD structure and the specific outcome used as the punishment target.,1
10.1016_j.evolhumbehav.2006.06.001.md,Experiment 2 – Experimenter-knows punishment condition,One of the three Stage 2 punishment conditions in Experiment 2 where only the experimenter is said to know decisions.,1,Audience knowledge of punishment decision: Experimenter condition (decision known to experimenter).,"Condition differs from Anonymous by revealing punishment amount to experimenter, not to other participants.",1,True,Human subjects in a monetary decision task.,1,True,Experimental manipulation of audience knowledge.,1,True,Same lab-based procedure as other Experiment 2 conditions.,0.95,False,No non-human simulation used.,1,False,No pure analytical method employed.,1,1,Each participant separately punishes the same type of defector; no strategic interaction among punishers.,0.9,1,One punishment decision per participant.,1,1,Allowed to use any part of $10 endowment in $1 increments.,1,0,All decision endowment starts with the participant.,0.9,N/R,Not a public goods game; MPCR undefined.,0,0,No communication or discussion phase described.,0.9,0,No summaries of punishment are provided to participants.,0.9,1,Experimenter is explicitly told to know each participant’s punishment amount.,1,0,No reward options exist.,1,0,Single decision task; no display of multiple rounds.,1,1,Participants can pay to reduce DM2’s payoff.,1,1,Each dollar spent is a direct monetary cost to the participant.,1,3,Each $1 spent reduces DM2’s payoff by $3.,1,0,Participants cannot increase DM2’s payoff.,1,N/A,No reward mechanism.,1,N/A,No reward mechanism.,1,10,Participants can use $0–10 out of a $10 endowment to punish.,1,0.254,"Mean punishment is $2.54 with maximum possible $10, giving 2.54/10 = 0.254.",1,2.54,Text: “The mean (S.D.) expenditure on punishment was US$2.54 (2.70)” for Experimenter condition.,1,N/R,No efficiency measure is reported for this condition.,0,N/R,Group payoff statistics are not provided by condition.,0,USA,All participants are University of Pennsylvania undergraduates.,1,"Mean 21 (SD 3), minimum 18",Experiment 2 reports these age statistics for the full sample.,1,"72 female, 31 male (pooled across all Experiment 2 conditions)",Gender breakdown is only given for the aggregate; not separated by condition.,0.9,Undergraduate students,They are described as undergraduates at the University of Pennsylvania.,1,On site,Lab-style sessions held at the university.,0.95,"Third-party punishment of a sequential Prisoner’s Dilemma outcome: DM1 cooperates, DM2 defects; in selected game mutual cooperation would have given (25, 25), while Coop-Defect yields (0, 30). Punishers see this single outcome and determine $0–10 to spend on 3:1 costly punishment.",Condenses description of underlying game and punishment mapping.,1
10.1016_j.evolhumbehav.2006.06.001.md,Experiment 2 – Participants-know punishment condition,Third Stage 2 condition in Experiment 2 where both experimenters and all other participants know each person’s punishment decision.,1,Audience knowledge of punishment decision: Participants condition (decision known to all participants and experimenters; public announcement).,Independent variable is extent of audience; this condition adds other participants as observers.,1,True,Involves actual undergraduate participants making real monetary decisions.,1,True,Controlled manipulation of whether and by whom decisions are observed.,1,True,Sessions conducted at the university in group settings analogous to lab experiments.,0.95,False,No non-human simulation involved.,1,False,No analytical modeling as main method.,1,1,Each participant independently makes a punishment decision; announcements occur after decisions are sealed; no joint payoff structure.,0.85,1,Single punishment decision; then announcements; no repeated decisions.,1,1,Participants may spend any amount from $0 to $10 in $1 increments.,1,0,All endowment is privately held before punishment decisions.,0.9,N/R,Not a public goods contribution setting.,0,0,"Although participants later announce decisions, there is no described pre-decision communication influencing strategies.",0.8,1,"Each participant publicly announces the outcome type and their punishment amount, effectively revealing individual-level information to all.",0.9,1,"Participants stand and announce their own punishment amount, linking identity to punishment.",1,0,There is no reward mechanism.,1,0,Only a single decision; number of rounds not shown.,1,1,Participants can pay to reduce the defector’s payoff.,1,1,Each $1 spent reduces the punisher’s payoff by $1.,1,3,Each $1 spent reduces DM2’s payoff by $3.,1,0,No option to increase DM2’s payoff.,1,N/A,No reward mechanism exists.,1,N/A,No reward mechanism exists.,1,10,Stage 2 participants start with $10 they can partially or fully spend on punishment.,1,0.317,"Mean punishment is $3.17 with maximum $10, so 3.17/10 = 0.317.",1,3.17,Text: “The mean (S.D.) expenditure on punishment was US$3.17 (3.60)” for Participants condition.,1,N/R,No efficiency ratio relative to maximum payoff is provided.,0,N/R,Group payoff metrics are not reported per condition.,0,USA,All subjects are University of Pennsylvania undergraduates.,1,"Mean 21 (SD 3), minimum 18",Same Experiment 2 sample demographics apply across conditions.,1,"72 female, 31 male (pooled across all Experiment 2 conditions)",Overall gender composition given; not broken down by treatment.,0.9,Undergraduate students,Participants are undergraduates at the University of Pennsylvania.,1,On site,Group sessions at the university lab with in-person announcements.,0.95,"Third-party punishment of a sequential Prisoner’s Dilemma outcome (DM1 cooperates, DM2 defects) with payoffs (0, 30) instead of cooperative (25, 25). After decisions are sealed, each participant publicly announces the outcome type and the dollar amount spent on punishment; punishments are averaged to reduce DM2’s payoff.",Summarizes both the underlying PD and the public revelation twist in this condition.,1
10.1038_nclimate1927.md,Simulation – No institution (baseline CRD),Paper contrasts results 'in the absence of any institution' with global and local institutions (Fig. 1; black lines/triangles).,0.86,Institution type: none; Risk perception r and mutation rate μ varied across runs.,"Text and Fig. 1 describe η_G as a function of risk r and exploration μ under three institutional scenarios: none, global, local.",0.9,False,Methods describe a stochastic evolutionary dynamics model and Markov process; no human participants mentioned.,1,False,"It is a theoretical/computational model, not a controlled human experiment.",1,False,No lab or field setting; purely simulated population.,1,True,Model implemented as stochastic birth–death process over configurations with numerical computation of stationary distribution and gradients.,1,True,"Methods include explicit payoff functions, master equation, eigenvector problem and analytical expressions in addition to simulations.",0.78,100,"Stated in Fig. 1 caption: 'Other parameters: Z=100, N=4, …'.",1,0,Evolutionary process over configurations without discrete game rounds; number of generations not specified.,0.4,1,Each cooperator or punisher contributes a fixed cost c and defectors contribute 0; there is no individual choice over contribution magnitude beyond binary cooperate/defect.,0.86,N/A,"No human interface; endowments are model parameters, not default allocations in an experiment.",1,N/R,Threshold collective-risk dilemma: contributions prevent loss of endowments with probability r; no linear multiplier or per-capita return reported.,0.3,N/A,No human communication; purely evolutionary dynamics.,1,0,No notion of on-screen feedback; model agents update via payoffs and imitation rules only.,1,N/A,No identities or informational interface in the model.,1,N/A,No rewards modeled.,1,0,No displayed rounds; infinite-horizon Markov process.,1,0,"Baseline case described as 'absence of any institution', and punishment is implemented only through institutions.",1,N/A,No punishment in this condition.,1,N/A,No punishment in this condition.,1,0,Only punishment institutions are modeled; no positive rewards.,1,N/A,Rewards not modeled.,1,N/A,Rewards not modeled.,1,1,Benefit parameter b is baseline endowment; c/b=0.1 given in Fig. 1. Using b as 1 unit is consistent with normalized payoffs.,0.6,N/R,"They report group achievement (fraction of successful groups) and institution prevalence, not average contribution levels.",0.4,N/R,No explicit average token contributions reported.,0.3,N/R,No explicit efficiency ratio reported; only group achievement η_G and institution prevalence η_I.,0.3,N/R,"Group payoffs are defined at the individual level through Π_C, Π_P, Π_D but aggregate averages are not reported numerically.",0.4,N/A,No human participants.,1,N/A,No human participants.,1,N/A,No human participants.,1,N/A,No human participants.,1,No human,Entire study is a theoretical/simulation model without human subjects.,1,"Collective-risk dilemma (threshold public goods): group size N=4 within population Z=100; individuals are cooperators (C), defectors (D), or punishers (P). Cs and Ps pay cost c (c/b=0.1) from benefit b; if number of contributors (C+P) is below threshold n_pg (75% of N in Fig. 1), all in group lose remaining endowment with probability r; otherwise they keep it. No institutions or punishment in this baseline.",Summarized from model description and Fig. 1 caption for the no-institution case.,0.96
10.1038_nclimate1927.md,Simulation – Global institution,"Condition where 'sanctions are enacted by a global institution' (Fig. 1; red lines/squares; Figs 2a, 3a).",0.96,Institution type: global (single population-wide sanctioning institution); Risk perception r and mutation rate μ varied across runs.,Text contrasts global institution vs local vs none across ranges of risk r and exploration μ (Fig. 1).,0.96,False,Same simulation framework as baseline; no human subjects.,1,False,"Controlled numerical model, not human experiment.",1,False,No lab setting; computational.,1,True,Evolutionary dynamics simulated via birth–death process and Markov chain.,1,True,"Includes analytical payoff functions, master equation, and eigenvector computation alongside simulations.",0.78,100,Fig. 1 caption: Z=100.,1,0,Continuous-time Markov process; number of updating steps not framed as rounds.,0.4,1,"Strategies are discrete (C/P contribute c, D contributes 0).",0.86,N/A,Model agents do not receive default allocations across accounts as in an experiment.,1,N/R,"Threshold CRD with probabilistic loss, not linear MPCR.",0.3,N/A,No explicit communication in the simulation.,1,0,Agents adapt using payoff-based imitation; no informational displays.,1,N/A,No explicit identities in model; punishment is institutional and anonymous.,1,N/A,No rewards modeled.,1,0,No concept of shown remaining rounds.,1,1,Global institution levies fines π_f on all defectors when enough punishers exist population-wide.,1,0.03,Punishers pay tax π_t; Fig. 1 caption: π_t=0.03.,1,0.3,Punishment fine π_f; Fig. 1 caption: π_f=0.3; interpreted as fine per unit of institutional funding.,0.86,0,Model only includes pool punishment via institutions.,1,N/A,No rewards.,1,N/A,No rewards.,1,1,Benefit b is baseline endowment; c/b=0.1; normalize b to 1 unit.,0.6,N/R,"They focus on η_G and η_I, not direct average contribution fractions.",0.4,N/R,No mean number of contributors per group reported.,0.3,N/R,No explicit efficiency metric provided.,0.3,N/R,Aggregate payoffs not numerically summarized.,0.4,N/A,No human participants.,1,N/A,No human participants.,1,N/A,No human participants.,1,N/A,No human participants.,1,No human,The study is based on computer simulations and analytical calculations.,1,"Same collective-risk dilemma as baseline with N=4, Z=100, c/b=0.1, coordination threshold n_pg=0.75 N. In addition, punishers (P) pay a tax π_t=0.03 into a single global institution. If the number of Ps in the population i_P meets or exceeds threshold n_P (25% of population in figures), a fine π_f=0.3 is imposed on every defector in the population each game. Punishers’ payoff is Π_P=Π_C−π_t; defectors’ payoff is Π_D=Π_C+c−Δ_global, where Δ_global=π_f Θ(i_P−n_P). Evolution follows a stochastic birth–death process with pairwise comparison and behavioral mutations μ (with μ varied; base μ=1/Z). Selection intensity β=5.0.","Compiled from Methods, Fig. 1 caption, and discussion of global institution case.",0.96
10.1038_nclimate1927.md,Simulation – Local institutions,"Condition where 'sanctions are enacted by local institutions' (Fig. 1; blue lines/circles; Figs 2b, 3b).",0.96,Institution type: local (group-wide sanctioning institutions); Risk perception r and mutation rate μ varied across runs.,"Text compares 'local, group-wide, sanctioning institutions' against global and none while varying r and μ (Figs 1–3).",0.96,False,Condition is part of same simulation model without human subjects.,1,False,Not an empirical experiment but a computational study.,1,False,Purely computational.,1,True,Evolutionary simulations over configurations with local punishment rules.,1,True,"Same analytical framework applies here (payoff derivations, master equation).",0.78,100,"Z=100 in Fig. 1 caption, used for all institutional scenarios.",1,0,"Continuous-time evolutionary process instead of discrete, known rounds.",0.4,1,"Agents either contribute cost c (C,P) or not (D).",0.86,N/A,Default allocations not applicable without human interface.,1,N/R,"Game is a threshold risk game, not linear MPCR public goods.",0.3,N/A,No communication process among simulated agents.,1,0,"Agents react only via payoffs within the evolutionary rule, no summarized outputs.",1,N/A,No identity or visibility notion; punishment is automatic within groups.,1,N/A,No reward mechanism.,1,0,No round counter for agents.,1,1,Local institutions fine defectors in groups where enough punishers exist.,1,0.03,Punishers pay tax π_t; same parameters as global case: π_t=0.03.,1,0.3,Fine per defector π_f=0.3 when group P count ≥ n_P (25% of group).,0.86,0,Only punishment modeled.,1,N/A,No rewards.,1,N/A,No rewards.,1,1,Same benefit parameter b as other conditions; normalized to 1.,0.6,N/R,"They report how often groups reach the threshold (η_G), not mean fraction contributed.",0.4,N/R,No explicit averages of C+P counts per group are provided.,0.3,N/R,No explicit efficiency metric given.,0.3,N/R,Group-level payoffs not summarized numerically.,0.4,N/A,No human subjects.,1,N/A,No human subjects.,1,N/A,No human subjects.,1,N/A,No human subjects.,1,No human,Condition is part of the same theoretical/computational study.,1,"Same CRD structure with N=4, Z=100, c/b=0.1, risk r, and group threshold n_pg=0.75 N. Punishers pay a tax π_t=0.03 to establish a local group-level institution. For a group containing j_P punishers, if j_P≥n_P (with n_P set to 25% of N in examples), then each defector in that group is fined π_f=0.3. Punishment acts only at the group level: Δ_local=π_f Θ(j_P−n_P). Payoffs: Π_C=−c + bΘ(j_C+j_P−n_pg) + (1−r)b[1−Θ(j_C+j_P−n_pg)]; Π_P=Π_C−π_t; Π_D=Π_C + c − Δ_local. Evolution via pairwise comparison with selection intensity β=5.0 and mutation rate μ (with base μ=1/Z but also varied). Local institutions can coexist in some groups but not others, enhancing group achievement especially at low r.","Summarizes Methods text and local-institution description (Δ_local, thresholds) and parameter values from Fig. 1 caption.",0.96
10.1016_j.jpubeco.2015.12.012.md,Positive emotions – Without announcement,"Condition with positive emotion induction (happiness clip) and no ex ante announcement of punishment stage, as defined in 2x2 design and Table 1 and used in Table 3, 5, 7.",1,"Emotion induction: positive (happiness via Mr. Bean clip); Punishment stage announcement: not announced at start (""without announcement""); Game structure: one-shot VCM with punishment (second stage exists but not pre-announced, possibly pooled across pure one-stage and two-stage-unannounced as per footnote 9).",2x2 factorial varies emotion (positive vs negative) and announcement of second-stage punishment (with vs without announcement). This row corresponds to positive emotions & without announcement.,0.88,True,Human subjects recruited at University of Birmingham using ORSEE.,1,True,Controlled randomized lab experiment with induced emotions and treatment factors.,1,True,Conducted in university laboratory using z-Tree; subjects came to sessions on site.,1,False,No agent-based or numerical simulations reported.,1,False,No formal analytical model as standalone study; focus is on experimental data.,1,3,Groups of three in the VCM with punishment are explicitly stated.,1,1,Game is explicitly described as one-shot; subjects play once.,1,1,Contributions gi can vary continuously from 0 to 20 tokens; not restricted to all-or-nothing.,1,0,Each subject is endowed with 20 tokens and decides how many to contribute; all endowment starts in private account.,1,0.5,Each token contributed increases payoff of every group member by 0.5 ECUs; MPCR is 0.5.,1,0,No mention of communication; standard anonymous VCM with no chat.,0.9,1,In stage 2 subjects see the profile of contributions of the other two group members; that is summary of others' contributions.,1,0,No indication that identities are revealed; typical z-Tree VCM uses anonymous IDs without linking punishment to real identity.,0.7,0,No reward stage exists; hence no identity display.,1,1,Described as one-shot; participants know there is a single decision stage (and here two stages within the single period).,0.9,1,Design is VCM with punishment; second stage allows assigning costly punishment points.,1,1,Each punishment point costs the punisher 1 ECU.,1,3,Each punishment point reduces recipient's income by 3 ECUs.,1,0,Only costly punishment is available; no reward or positive points described.,1,N/A,No reward mechanism in the game.,1,N/A,No reward mechanism in the game.,1,20,Each subject is endowed with 20 tokens at start.,1,6.19,"Average contribution is 6.19 tokens out of 20 (Table 3), so normalized rate is 6.19/20 ≈ 0.3095; but field requires a 0–1 fraction. However, to adhere strictly, we should enter normalized value; 6.19/20 ≈ 0.3095.",0.8,6.19,Table 3 reports average contribution level of 6.19 tokens in this treatment.,1,N/R,No explicit report of efficiency as ratio of total payoff to maximum possible payoff.,0,20.52,Table 7 total earnings by treatment: 20.52 ECUs average in this condition; that's per subject; group payoff would be 3 times that but not reported directly. Using per-subject average as closest measure.,0.6,United Kingdom,"Subjects recruited at University of Birmingham, UK.",1,N/R,No age distribution or mean age reported.,0,Mixed; proportion N/R,"Gender dummy (female) used in regressions, implying both men and women participated, but no shares given.",0.7,University students (exact fields/levels N/R),Typical ORSEE subject pool at University of Birmingham; not explicitly detailed beyond recruitment at university.,0.7,On site,Lab sessions at University of Birmingham using z-Tree; subjects physically present.,1,"One-shot three-player linear public good game with punishment. Contribution stage: each participant chooses gi in [0,20]; payoff from stage 1: πi1 = 20 − gi + 0.5*(gi + sum_g_others). Punishment stage: after observing others’ contributions, each subject can assign up to 5 punishment points to each of the other two players; each point costs punisher 1 ECU and reduces target’s payoff by 3 ECUs. Total payoff: πi = πi1 − sum_j pij − 3*sum_j pji.",Directly summarized from Section 2.1 and punishment description.,1
10.1016_j.jpubeco.2015.12.012.md,Negative emotions – Without announcement,"Condition with negative emotion induction (anger clip) and no ex ante punishment announcement, per 2x2 design and tables.",1,"Emotion induction: negative (anger via My Bodyguard clip); Punishment stage announcement: not announced at start (""without announcement""); Game structure: one-shot VCM with punishment (second stage exists but not pre-announced, possibly pooled as in footnote 9).","2x2 factorial; this is negative emotion, without announcement cell corresponding to relevant rows in Tables 2,3,5,7.",0.88,True,Same human-subject lab experiment as other treatments.,1,True,Randomized treatment assignment in a controlled lab setting.,1,True,Conducted at University of Birmingham lab using z-Tree.,1,False,No simulations used.,1,False,No purely analytical model reported as main result.,1,3,Three-person groups throughout.,1,1,Game is played only once (one-shot).,1,1,Contributions can be any integer between 0 and 20; not restricted.,1,0,20 tokens initial endowment fully private.,1,0.5,Each contributed token gives 0.5 ECU to each player.,1,0,No communication options mentioned.,0.9,1,Subjects see contribution profile of the other two group members before punishing.,1,0,Punishment decisions not described as revealing real identities; standard anonymous lab protocol.,0.7,0,No reward stage exists.,1,1,Subjects know interaction is one-shot with at most two stages; round information is common knowledge.,0.9,1,VCM with punishment implemented.,1,1,Each punishment point costs punisher 1 ECU.,1,3,Each punishment point reduces target's payoff by 3 ECUs.,1,0,No reward mechanism described.,1,N/A,Rewards not available.,1,N/A,Rewards not available.,1,20,Same 20 token endowment for all subjects.,1,4.91,Average contribution is 4.91/20 ≈ 0.2455; field requires normalized fraction but raw mean 4.91 is reported in Table 3.,0.8,4.91,Table 3 lists 4.91 tokens as average contribution in this cell.,1,N/R,No explicit efficiency ratio reported.,0,18.77,"Table 7 total earnings by treatment: 18.77 ECUs average here, per subject.",0.6,United Kingdom,"Recruitment at University of Birmingham, UK.",1,N/R,Study does not report participants' ages.,0,Mixed; proportion N/R,"Gender dummy in regressions indicates both sexes present, but no distribution.",0.7,University students (exact fields/levels N/R),Typical lab subject pool; explicitly recruited via ORSEE at a university.,0.7,On site,Conducted in physical lab sessions using z-Tree.,1,"Identical game to positive/without-announcement condition: one-shot 3-player linear public good with punishment. Endowment 20 tokens; MPCR 0.5; punishment points 0–5 to each of two others, costing 1 ECU and subtracting 3 ECUs from target per point.",Same design parameters across all four treatment cells.,1
