collection_id,collection_count,chunk_index,n_chunks,chunk_paper_count,chunk_chars,custom_id,bundle_path
broad_all,2011,1,21,96,79422,collection_chunk/broad_all/chunk001,literature/output/collection_synthesis_inputs/chunks/broad_all_chunk001.md
broad_all,2011,2,21,96,79823,collection_chunk/broad_all/chunk002,literature/output/collection_synthesis_inputs/chunks/broad_all_chunk002.md
broad_all,2011,3,21,100,80192,collection_chunk/broad_all/chunk003,literature/output/collection_synthesis_inputs/chunks/broad_all_chunk003.md
broad_all,2011,4,21,97,79608,collection_chunk/broad_all/chunk004,literature/output/collection_synthesis_inputs/chunks/broad_all_chunk004.md
broad_all,2011,5,21,96,79746,collection_chunk/broad_all/chunk005,literature/output/collection_synthesis_inputs/chunks/broad_all_chunk005.md
broad_all,2011,6,21,99,79857,collection_chunk/broad_all/chunk006,literature/output/collection_synthesis_inputs/chunks/broad_all_chunk006.md
broad_all,2011,7,21,98,79528,collection_chunk/broad_all/chunk007,literature/output/collection_synthesis_inputs/chunks/broad_all_chunk007.md
broad_all,2011,8,21,98,79950,collection_chunk/broad_all/chunk008,literature/output/collection_synthesis_inputs/chunks/broad_all_chunk008.md
broad_all,2011,9,21,98,80093,collection_chunk/broad_all/chunk009,literature/output/collection_synthesis_inputs/chunks/broad_all_chunk009.md
broad_all,2011,10,21,97,79689,collection_chunk/broad_all/chunk010,literature/output/collection_synthesis_inputs/chunks/broad_all_chunk010.md
broad_all,2011,11,21,99,79981,collection_chunk/broad_all/chunk011,literature/output/collection_synthesis_inputs/chunks/broad_all_chunk011.md
broad_all,2011,12,21,97,79978,collection_chunk/broad_all/chunk012,literature/output/collection_synthesis_inputs/chunks/broad_all_chunk012.md
broad_all,2011,13,21,99,80111,collection_chunk/broad_all/chunk013,literature/output/collection_synthesis_inputs/chunks/broad_all_chunk013.md
broad_all,2011,14,21,95,79676,collection_chunk/broad_all/chunk014,literature/output/collection_synthesis_inputs/chunks/broad_all_chunk014.md
broad_all,2011,15,21,96,79765,collection_chunk/broad_all/chunk015,literature/output/collection_synthesis_inputs/chunks/broad_all_chunk015.md
broad_all,2011,16,21,101,79891,collection_chunk/broad_all/chunk016,literature/output/collection_synthesis_inputs/chunks/broad_all_chunk016.md
broad_all,2011,17,21,99,79838,collection_chunk/broad_all/chunk017,literature/output/collection_synthesis_inputs/chunks/broad_all_chunk017.md
broad_all,2011,18,21,98,79656,collection_chunk/broad_all/chunk018,literature/output/collection_synthesis_inputs/chunks/broad_all_chunk018.md
broad_all,2011,19,21,98,79617,collection_chunk/broad_all/chunk019,literature/output/collection_synthesis_inputs/chunks/broad_all_chunk019.md
broad_all,2011,20,21,99,80139,collection_chunk/broad_all/chunk020,literature/output/collection_synthesis_inputs/chunks/broad_all_chunk020.md
broad_all,2011,21,21,55,42622,collection_chunk/broad_all/chunk021,literature/output/collection_synthesis_inputs/chunks/broad_all_chunk021.md
broad_empirical,947,1,10,96,79414,collection_chunk/broad_empirical/chunk001,literature/output/collection_synthesis_inputs/chunks/broad_empirical_chunk001.md
broad_empirical,947,2,10,96,79665,collection_chunk/broad_empirical/chunk002,literature/output/collection_synthesis_inputs/chunks/broad_empirical_chunk002.md
broad_empirical,947,3,10,96,79876,collection_chunk/broad_empirical/chunk003,literature/output/collection_synthesis_inputs/chunks/broad_empirical_chunk003.md
broad_empirical,947,4,10,96,79546,collection_chunk/broad_empirical/chunk004,literature/output/collection_synthesis_inputs/chunks/broad_empirical_chunk004.md
broad_empirical,947,5,10,95,80057,collection_chunk/broad_empirical/chunk005,literature/output/collection_synthesis_inputs/chunks/broad_empirical_chunk005.md
broad_empirical,947,6,10,96,79851,collection_chunk/broad_empirical/chunk006,literature/output/collection_synthesis_inputs/chunks/broad_empirical_chunk006.md
broad_empirical,947,7,10,95,79552,collection_chunk/broad_empirical/chunk007,literature/output/collection_synthesis_inputs/chunks/broad_empirical_chunk007.md
broad_empirical,947,8,10,96,79806,collection_chunk/broad_empirical/chunk008,literature/output/collection_synthesis_inputs/chunks/broad_empirical_chunk008.md
broad_empirical,947,9,10,96,79731,collection_chunk/broad_empirical/chunk009,literature/output/collection_synthesis_inputs/chunks/broad_empirical_chunk009.md
broad_empirical,947,10,10,85,70611,collection_chunk/broad_empirical/chunk010,literature/output/collection_synthesis_inputs/chunks/broad_empirical_chunk010.md
broad_empirical_payoff_like,409,1,5,96,79425,collection_chunk/broad_empirical_payoff_like/chunk001,literature/output/collection_synthesis_inputs/chunks/broad_empirical_payoff_like_chunk001.md
broad_empirical_payoff_like,409,2,5,97,80040,collection_chunk/broad_empirical_payoff_like/chunk002,literature/output/collection_synthesis_inputs/chunks/broad_empirical_payoff_like_chunk002.md
