leaf_id,a_pgg_pun_exactclose,b_payoff_like_outcome,c_empirical_only,leaf_count,chunk_index,n_chunks,chunk_paper_count,chunk_chars,custom_id,bundle_path
leaf_a0_b0_c0,False,False,False,363,1,4,99,79990,leaf_chunk/leaf_a0_b0_c0/chunk001,literature/output/collection_synthesis_inputs/leaf_chunks/leaf_a0_b0_c0_chunk001.md
leaf_a0_b0_c0,False,False,False,363,2,4,100,79807,leaf_chunk/leaf_a0_b0_c0/chunk002,literature/output/collection_synthesis_inputs/leaf_chunks/leaf_a0_b0_c0_chunk002.md
leaf_a0_b0_c0,False,False,False,363,3,4,100,79640,leaf_chunk/leaf_a0_b0_c0/chunk003,literature/output/collection_synthesis_inputs/leaf_chunks/leaf_a0_b0_c0_chunk003.md
leaf_a0_b0_c0,False,False,False,363,4,4,64,49408,leaf_chunk/leaf_a0_b0_c0/chunk004,literature/output/collection_synthesis_inputs/leaf_chunks/leaf_a0_b0_c0_chunk004.md
leaf_a0_b0_c1,False,False,True,340,1,4,96,80251,leaf_chunk/leaf_a0_b0_c1/chunk001,literature/output/collection_synthesis_inputs/leaf_chunks/leaf_a0_b0_c1_chunk001.md
leaf_a0_b0_c1,False,False,True,340,2,4,96,80195,leaf_chunk/leaf_a0_b0_c1/chunk002,literature/output/collection_synthesis_inputs/leaf_chunks/leaf_a0_b0_c1_chunk002.md
leaf_a0_b0_c1,False,False,True,340,3,4,96,80013,leaf_chunk/leaf_a0_b0_c1/chunk003,literature/output/collection_synthesis_inputs/leaf_chunks/leaf_a0_b0_c1_chunk003.md
leaf_a0_b0_c1,False,False,True,340,4,4,52,43034,leaf_chunk/leaf_a0_b0_c1/chunk004,literature/output/collection_synthesis_inputs/leaf_chunks/leaf_a0_b0_c1_chunk004.md
leaf_a0_b1_c0,False,True,False,275,1,3,99,79559,leaf_chunk/leaf_a0_b1_c0/chunk001,literature/output/collection_synthesis_inputs/leaf_chunks/leaf_a0_b1_c0_chunk001.md
leaf_a0_b1_c0,False,True,False,275,2,3,100,80207,leaf_chunk/leaf_a0_b1_c0/chunk002,literature/output/collection_synthesis_inputs/leaf_chunks/leaf_a0_b1_c0_chunk002.md
leaf_a0_b1_c0,False,True,False,275,3,3,76,59901,leaf_chunk/leaf_a0_b1_c0/chunk003,literature/output/collection_synthesis_inputs/leaf_chunks/leaf_a0_b1_c0_chunk003.md
leaf_a0_b1_c1,False,True,True,167,1,2,96,80110,leaf_chunk/leaf_a0_b1_c1/chunk001,literature/output/collection_synthesis_inputs/leaf_chunks/leaf_a0_b1_c1_chunk001.md
leaf_a0_b1_c1,False,True,True,167,2,2,71,58975,leaf_chunk/leaf_a0_b1_c1/chunk002,literature/output/collection_synthesis_inputs/leaf_chunks/leaf_a0_b1_c1_chunk002.md
leaf_a1_b0_c0,True,False,False,236,1,3,98,79828,leaf_chunk/leaf_a1_b0_c0/chunk001,literature/output/collection_synthesis_inputs/leaf_chunks/leaf_a1_b0_c0_chunk001.md
leaf_a1_b0_c0,True,False,False,236,2,3,99,79940,leaf_chunk/leaf_a1_b0_c0/chunk002,literature/output/collection_synthesis_inputs/leaf_chunks/leaf_a1_b0_c0_chunk002.md
leaf_a1_b0_c0,True,False,False,236,3,3,39,30757,leaf_chunk/leaf_a1_b0_c0/chunk003,literature/output/collection_synthesis_inputs/leaf_chunks/leaf_a1_b0_c0_chunk003.md
leaf_a1_b0_c1,True,False,True,198,1,3,96,80041,leaf_chunk/leaf_a1_b0_c1/chunk001,literature/output/collection_synthesis_inputs/leaf_chunks/leaf_a1_b0_c1_chunk001.md
leaf_a1_b0_c1,True,False,True,198,2,3,95,79840,leaf_chunk/leaf_a1_b0_c1/chunk002,literature/output/collection_synthesis_inputs/leaf_chunks/leaf_a1_b0_c1_chunk002.md
leaf_a1_b0_c1,True,False,True,198,3,3,7,6166,leaf_chunk/leaf_a1_b0_c1/chunk003,literature/output/collection_synthesis_inputs/leaf_chunks/leaf_a1_b0_c1_chunk003.md
leaf_a1_b1_c0,True,True,False,190,1,2,98,79849,leaf_chunk/leaf_a1_b1_c0/chunk001,literature/output/collection_synthesis_inputs/leaf_chunks/leaf_a1_b1_c0_chunk001.md
leaf_a1_b1_c0,True,True,False,190,2,2,92,73518,leaf_chunk/leaf_a1_b1_c0/chunk002,literature/output/collection_synthesis_inputs/leaf_chunks/leaf_a1_b1_c0_chunk002.md
leaf_a1_b1_c1,True,True,True,242,1,3,96,79498,leaf_chunk/leaf_a1_b1_c1/chunk001,literature/output/collection_synthesis_inputs/leaf_chunks/leaf_a1_b1_c1_chunk001.md
leaf_a1_b1_c1,True,True,True,242,2,3,97,80088,leaf_chunk/leaf_a1_b1_c1/chunk002,literature/output/collection_synthesis_inputs/leaf_chunks/leaf_a1_b1_c1_chunk002.md
leaf_a1_b1_c1,True,True,True,242,3,3,49,41321,leaf_chunk/leaf_a1_b1_c1/chunk003,literature/output/collection_synthesis_inputs/leaf_chunks/leaf_a1_b1_c1_chunk003.md
