n_filters,count,type_value,citation_value,jcr_value,year_value,discipline_value,collection_id,filter_label,filters_json,set_path
1,698,,Q1_lowest,,,,citation_q1_lowest,citation=Q1_lowest,"{""citation"": ""Q1_lowest""}",literature/output/evidence_cards/literature_evidence_cards_cleaned/collection_metadata_sets/sets/citation_q1_lowest.csv
1,681,,Q2,,,,citation_q2,citation=Q2,"{""citation"": ""Q2""}",literature/output/evidence_cards/literature_evidence_cards_cleaned/collection_metadata_sets/sets/citation_q2.csv
1,693,,Q3,,,,citation_q3,citation=Q3,"{""citation"": ""Q3""}",literature/output/evidence_cards/literature_evidence_cards_cleaned/collection_metadata_sets/sets/citation_q3.csv
1,684,,Q4_highest,,,,citation_q4_highest,citation=Q4_highest,"{""citation"": ""Q4_highest""}",literature/output/evidence_cards/literature_evidence_cards_cleaned/collection_metadata_sets/sets/citation_q4_highest.csv
1,432,,,,,bio_evo,discipline_bio_evo,discipline=bio_evo,"{""discipline"": ""bio_evo""}",literature/output/evidence_cards/literature_evidence_cards_cleaned/collection_metadata_sets/sets/discipline_bio_evo.csv
1,730,,,,,economics,discipline_economics,discipline=economics,"{""discipline"": ""economics""}",literature/output/evidence_cards/literature_evidence_cards_cleaned/collection_metadata_sets/sets/discipline_economics.csv
1,805,,,,,math_phys_cs,discipline_math_phys_cs,discipline=math_phys_cs,"{""discipline"": ""math_phys_cs""}",literature/output/evidence_cards/literature_evidence_cards_cleaned/collection_metadata_sets/sets/discipline_math_phys_cs.csv
1,470,,,,,multidisciplinary,discipline_multidisciplinary,discipline=multidisciplinary,"{""discipline"": ""multidisciplinary""}",literature/output/evidence_cards/literature_evidence_cards_cleaned/collection_metadata_sets/sets/discipline_multidisciplinary.csv
1,193,,,,,other,discipline_other,discipline=other,"{""discipline"": ""other""}",literature/output/evidence_cards/literature_evidence_cards_cleaned/collection_metadata_sets/sets/discipline_other.csv
1,737,,,,,psych_social,discipline_psych_social,discipline=psych_social,"{""discipline"": ""psych_social""}",literature/output/evidence_cards/literature_evidence_cards_cleaned/collection_metadata_sets/sets/discipline_psych_social.csv
1,1442,,,Q1,,,jcr_q1,jcr=Q1,"{""jcr"": ""Q1""}",literature/output/evidence_cards/literature_evidence_cards_cleaned/collection_metadata_sets/sets/jcr_q1.csv
1,738,,,Q2,,,jcr_q2,jcr=Q2,"{""jcr"": ""Q2""}",literature/output/evidence_cards/literature_evidence_cards_cleaned/collection_metadata_sets/sets/jcr_q2.csv
1,398,,,Q3,,,jcr_q3,jcr=Q3,"{""jcr"": ""Q3""}",literature/output/evidence_cards/literature_evidence_cards_cleaned/collection_metadata_sets/sets/jcr_q3.csv
1,89,,,Q4,,,jcr_q4,jcr=Q4,"{""jcr"": ""Q4""}",literature/output/evidence_cards/literature_evidence_cards_cleaned/collection_metadata_sets/sets/jcr_q4.csv
1,1405,empirical,,,,,type_empirical,type=empirical,"{""type"": ""empirical""}",literature/output/evidence_cards/literature_evidence_cards_cleaned/collection_metadata_sets/sets/type_empirical.csv
1,1445,theoretical,,,,,type_theoretical,type=theoretical,"{""type"": ""theoretical""}",literature/output/evidence_cards/literature_evidence_cards_cleaned/collection_metadata_sets/sets/type_theoretical.csv
1,705,,,,Q1_oldest,,year_q1_oldest,year=Q1_oldest,"{""year"": ""Q1_oldest""}",literature/output/evidence_cards/literature_evidence_cards_cleaned/collection_metadata_sets/sets/year_q1_oldest.csv
1,743,,,,Q2,,year_q2,year=Q2,"{""year"": ""Q2""}",literature/output/evidence_cards/literature_evidence_cards_cleaned/collection_metadata_sets/sets/year_q2.csv
1,650,,,,Q3,,year_q3,year=Q3,"{""year"": ""Q3""}",literature/output/evidence_cards/literature_evidence_cards_cleaned/collection_metadata_sets/sets/year_q3.csv
1,658,,,,Q4_newest,,year_q4_newest,year=Q4_newest,"{""year"": ""Q4_newest""}",literature/output/evidence_cards/literature_evidence_cards_cleaned/collection_metadata_sets/sets/year_q4_newest.csv
2,61,,Q1_lowest,,,bio_evo,citation_q1_lowest__discipline_bio_evo,citation=Q1_lowest | discipline=bio_evo,"{""citation"": ""Q1_lowest"", ""discipline"": ""bio_evo""}",literature/output/evidence_cards/literature_evidence_cards_cleaned/collection_metadata_sets/sets/citation_q1_lowest__discipline_bio_evo.csv
2,229,,Q1_lowest,,,economics,citation_q1_lowest__discipline_economics,citation=Q1_lowest | discipline=economics,"{""citation"": ""Q1_lowest"", ""discipline"": ""economics""}",literature/output/evidence_cards/literature_evidence_cards_cleaned/collection_metadata_sets/sets/citation_q1_lowest__discipline_economics.csv
2,231,,Q1_lowest,,,math_phys_cs,citation_q1_lowest__discipline_math_phys_cs,citation=Q1_lowest | discipline=math_phys_cs,"{""citation"": ""Q1_lowest"", ""discipline"": ""math_phys_cs""}",literature/output/evidence_cards/literature_evidence_cards_cleaned/collection_metadata_sets/sets/citation_q1_lowest__discipline_math_phys_cs.csv
2,85,,Q1_lowest,,,multidisciplinary,citation_q1_lowest__discipline_multidisciplinary,citation=Q1_lowest | discipline=multidisciplinary,"{""citation"": ""Q1_lowest"", ""discipline"": ""multidisciplinary""}",literature/output/evidence_cards/literature_evidence_cards_cleaned/collection_metadata_sets/sets/citation_q1_lowest__discipline_multidisciplinary.csv
2,36,,Q1_lowest,,,other,citation_q1_lowest__discipline_other,citation=Q1_lowest | discipline=other,"{""citation"": ""Q1_lowest"", ""discipline"": ""other""}",literature/output/evidence_cards/literature_evidence_cards_cleaned/collection_metadata_sets/sets/citation_q1_lowest__discipline_other.csv
2,209,,Q1_lowest,,,psych_social,citation_q1_lowest__discipline_psych_social,citation=Q1_lowest | discipline=psych_social,"{""citation"": ""Q1_lowest"", ""discipline"": ""psych_social""}",literature/output/evidence_cards/literature_evidence_cards_cleaned/collection_metadata_sets/sets/citation_q1_lowest__discipline_psych_social.csv
2,296,,Q1_lowest,Q1,,,citation_q1_lowest__jcr_q1,citation=Q1_lowest | jcr=Q1,"{""citation"": ""Q1_lowest"", ""jcr"": ""Q1""}",literature/output/evidence_cards/literature_evidence_cards_cleaned/collection_metadata_sets/sets/citation_q1_lowest__jcr_q1.csv
2,217,,Q1_lowest,Q2,,,citation_q1_lowest__jcr_q2,citation=Q1_lowest | jcr=Q2,"{""citation"": ""Q1_lowest"", ""jcr"": ""Q2""}",literature/output/evidence_cards/literature_evidence_cards_cleaned/collection_metadata_sets/sets/citation_q1_lowest__jcr_q2.csv
2,110,,Q1_lowest,Q3,,,citation_q1_lowest__jcr_q3,citation=Q1_lowest | jcr=Q3,"{""citation"": ""Q1_lowest"", ""jcr"": ""Q3""}",literature/output/evidence_cards/literature_evidence_cards_cleaned/collection_metadata_sets/sets/citation_q1_lowest__jcr_q3.csv
2,49,,Q1_lowest,Q4,,,citation_q1_lowest__jcr_q4,citation=Q1_lowest | jcr=Q4,"{""citation"": ""Q1_lowest"", ""jcr"": ""Q4""}",literature/output/evidence_cards/literature_evidence_cards_cleaned/collection_metadata_sets/sets/citation_q1_lowest__jcr_q4.csv
2,45,,Q1_lowest,,Q1_oldest,,citation_q1_lowest__year_q1_oldest,citation=Q1_lowest | year=Q1_oldest,"{""citation"": ""Q1_lowest"", ""year"": ""Q1_oldest""}",literature/output/evidence_cards/literature_evidence_cards_cleaned/collection_metadata_sets/sets/citation_q1_lowest__year_q1_oldest.csv
2,74,,Q1_lowest,,Q2,,citation_q1_lowest__year_q2,citation=Q1_lowest | year=Q2,"{""citation"": ""Q1_lowest"", ""year"": ""Q2""}",literature/output/evidence_cards/literature_evidence_cards_cleaned/collection_metadata_sets/sets/citation_q1_lowest__year_q2.csv
2,162,,Q1_lowest,,Q3,,citation_q1_lowest__year_q3,citation=Q1_lowest | year=Q3,"{""citation"": ""Q1_lowest"", ""year"": ""Q3""}",literature/output/evidence_cards/literature_evidence_cards_cleaned/collection_metadata_sets/sets/citation_q1_lowest__year_q3.csv
2,417,,Q1_lowest,,Q4_newest,,citation_q1_lowest__year_q4_newest,citation=Q1_lowest | year=Q4_newest,"{""citation"": ""Q1_lowest"", ""year"": ""Q4_newest""}",literature/output/evidence_cards/literature_evidence_cards_cleaned/collection_metadata_sets/sets/citation_q1_lowest__year_q4_newest.csv
2,86,,Q2,,,bio_evo,citation_q2__discipline_bio_evo,citation=Q2 | discipline=bio_evo,"{""citation"": ""Q2"", ""discipline"": ""bio_evo""}",literature/output/evidence_cards/literature_evidence_cards_cleaned/collection_metadata_sets/sets/citation_q2__discipline_bio_evo.csv
2,184,,Q2,,,economics,citation_q2__discipline_economics,citation=Q2 | discipline=economics,"{""citation"": ""Q2"", ""discipline"": ""economics""}",literature/output/evidence_cards/literature_evidence_cards_cleaned/collection_metadata_sets/sets/citation_q2__discipline_economics.csv
2,250,,Q2,,,math_phys_cs,citation_q2__discipline_math_phys_cs,citation=Q2 | discipline=math_phys_cs,"{""citation"": ""Q2"", ""discipline"": ""math_phys_cs""}",literature/output/evidence_cards/literature_evidence_cards_cleaned/collection_metadata_sets/sets/citation_q2__discipline_math_phys_cs.csv
2,100,,Q2,,,multidisciplinary,citation_q2__discipline_multidisciplinary,citation=Q2 | discipline=multidisciplinary,"{""citation"": ""Q2"", ""discipline"": ""multidisciplinary""}",literature/output/evidence_cards/literature_evidence_cards_cleaned/collection_metadata_sets/sets/citation_q2__discipline_multidisciplinary.csv
2,27,,Q2,,,other,citation_q2__discipline_other,citation=Q2 | discipline=other,"{""citation"": ""Q2"", ""discipline"": ""other""}",literature/output/evidence_cards/literature_evidence_cards_cleaned/collection_metadata_sets/sets/citation_q2__discipline_other.csv
2,164,,Q2,,,psych_social,citation_q2__discipline_psych_social,citation=Q2 | discipline=psych_social,"{""citation"": ""Q2"", ""discipline"": ""psych_social""}",literature/output/evidence_cards/literature_evidence_cards_cleaned/collection_metadata_sets/sets/citation_q2__discipline_psych_social.csv
2,302,,Q2,Q1,,,citation_q2__jcr_q1,citation=Q2 | jcr=Q1,"{""citation"": ""Q2"", ""jcr"": ""Q1""}",literature/output/evidence_cards/literature_evidence_cards_cleaned/collection_metadata_sets/sets/citation_q2__jcr_q1.csv
