custom_id,report_path,paper_type_primary,paper_type_empirical,paper_type_experimental,relevance_pgg_or_variant,relevance_punishment_or_sanctions,relevance_efficiency_or_related_payoff_outcome,outcomes_primary_outcome_type
10.1016_j.jesp.2016.06.007,literature/output/paper_analysis_reports/broad_all/10.1016_j.jesp.2016.06.007.md,empirical,experimental,lab_experiment,adjacent,adjacent,adjacent,non_payoff_behavior
10.1007_s11846-016-0209-9,literature/output/paper_analysis_reports/broad_all/10.1007_s11846-016-0209-9.md,empirical,experimental,lab_experiment,adjacent,adjacent,adjacent,non_payoff_behavior
10.1016_j.jebo.2017.06.004,literature/output/paper_analysis_reports/broad_all/10.1016_j.jebo.2017.06.004.md,empirical,experimental,lab_experiment,adjacent,adjacent,adjacent,non_payoff_behavior
10.1017_ehs.2024.18,literature/output/paper_analysis_reports/broad_all/10.1017_ehs.2024.18.md,empirical,experimental,lab_experiment,adjacent,adjacent,adjacent,non_payoff_behavior
10.1073_pnas.1505067112,literature/output/paper_analysis_reports/broad_all/10.1073_pnas.1505067112.md,empirical,experimental,lab_experiment,adjacent,adjacent,adjacent,non_payoff_behavior
10.1016_j.ecolecon.2024.108388,literature/output/paper_analysis_reports/broad_all/10.1016_j.ecolecon.2024.108388.md,empirical,experimental,lab_experiment,adjacent,adjacent,adjacent,non_payoff_behavior
10.1016_j.econlet.2009.08.024,literature/output/paper_analysis_reports/broad_all/10.1016_j.econlet.2009.08.024.md,empirical,experimental,lab_experiment,adjacent,adjacent,adjacent,non_payoff_behavior
10.1038_s41562-020-00950-4,literature/output/paper_analysis_reports/broad_all/10.1038_s41562-020-00950-4.md,empirical,experimental,lab_experiment,adjacent,adjacent,adjacent,non_payoff_behavior
10.1086_681231,literature/output/paper_analysis_reports/broad_all/10.1086_681231.md,empirical,experimental,lab_experiment,adjacent,adjacent,adjacent,non_payoff_behavior
10.1111_1911-3846.12489,literature/output/paper_analysis_reports/broad_all/10.1111_1911-3846.12489.md,empirical,experimental,lab_experiment,adjacent,adjacent,adjacent,non_payoff_behavior
10.1111_ecoj.12088,literature/output/paper_analysis_reports/broad_all/10.1111_ecoj.12088.md,empirical,experimental,lab_experiment,adjacent,adjacent,adjacent,non_payoff_behavior
10.1037_npe0000069,literature/output/paper_analysis_reports/broad_all/10.1037_npe0000069.md,empirical,experimental,lab_experiment,adjacent,adjacent,adjacent,non_payoff_behavior
10.1016_j.amc.2023.128172,literature/output/paper_analysis_reports/broad_all/10.1016_j.amc.2023.128172.md,theory,N/A,N/A,adjacent,adjacent,adjacent,non_payoff_behavior
10.1016_j.joep.2008.12.002,literature/output/paper_analysis_reports/broad_all/10.1016_j.joep.2008.12.002.md,empirical,experimental,lab_experiment,adjacent,adjacent,adjacent,non_payoff_behavior
10.1016_j.obhdp.2012.07.006,literature/output/paper_analysis_reports/broad_all/10.1016_j.obhdp.2012.07.006.md,empirical,experimental,lab_experiment,adjacent,adjacent,adjacent,non_payoff_behavior
10.1038_srep07843,literature/output/paper_analysis_reports/broad_all/10.1038_srep07843.md,empirical,experimental,lab_experiment,adjacent,adjacent,adjacent,non_payoff_behavior
10.3389_fpsyg.2018.01865,literature/output/paper_analysis_reports/broad_all/10.3389_fpsyg.2018.01865.md,empirical,experimental,lab_experiment,adjacent,adjacent,adjacent,non_payoff_behavior
10.1002_ijop.12257,literature/output/paper_analysis_reports/broad_all/10.1002_ijop.12257.md,empirical,experimental,lab_experiment,adjacent,adjacent,adjacent,non_payoff_behavior
10.1002_soej.12391,literature/output/paper_analysis_reports/broad_all/10.1002_soej.12391.md,empirical,experimental,lab_experiment,adjacent,adjacent,adjacent,non_payoff_behavior
10.1007_s10683-021-09737-4,literature/output/paper_analysis_reports/broad_all/10.1007_s10683-021-09737-4.md,empirical,experimental,lab_experiment,adjacent,adjacent,adjacent,non_payoff_behavior
10.1016_j.chaos.2018.02.035,literature/output/paper_analysis_reports/broad_all/10.1016_j.chaos.2018.02.035.md,theory,N/A,N/A,adjacent,adjacent,adjacent,non_payoff_behavior
10.1016_j.chaos.2024.115003,literature/output/paper_analysis_reports/broad_all/10.1016_j.chaos.2024.115003.md,empirical,experimental,lab_experiment,adjacent,adjacent,adjacent,non_payoff_behavior
10.1016_j.cub.2006.03.069,literature/output/paper_analysis_reports/broad_all/10.1016_j.cub.2006.03.069.md,empirical,experimental,lab_experiment,adjacent,adjacent,adjacent,non_payoff_behavior
10.1016_j.euroecorev.2004.10.005,literature/output/paper_analysis_reports/broad_all/10.1016_j.euroecorev.2004.10.005.md,empirical,experimental,lab_experiment,adjacent,adjacent,adjacent,non_payoff_behavior
10.1016_j.euroecorev.2024.104818,literature/output/paper_analysis_reports/broad_all/10.1016_j.euroecorev.2024.104818.md,empirical,experimental,lab_experiment,adjacent,adjacent,adjacent,non_payoff_behavior
10.1016_j.jdeveco.2011.12.002,literature/output/paper_analysis_reports/broad_all/10.1016_j.jdeveco.2011.12.002.md,empirical,experimental,lab_experiment,adjacent,adjacent,adjacent,non_payoff_behavior
10.1016_j.jesp.2019.103823,literature/output/paper_analysis_reports/broad_all/10.1016_j.jesp.2019.103823.md,empirical,experimental,lab_experiment,adjacent,adjacent,adjacent,non_payoff_behavior
10.1016_j.jtbi.2012.03.014,literature/output/paper_analysis_reports/broad_all/10.1016_j.jtbi.2012.03.014.md,theory,N/A,N/A,adjacent,adjacent,adjacent,non_payoff_behavior
10.1016_j.neuropsychologia.2007.11.033,literature/output/paper_analysis_reports/broad_all/10.1016_j.neuropsychologia.2007.11.033.md,empirical,experimental,lab_experiment,adjacent,adjacent,adjacent,non_payoff_behavior
10.1016_s0014-2921(01)00220-3,literature/output/paper_analysis_reports/broad_all/10.1016_s0014-2921(01)00220-3.md,empirical,experimental,lab_experiment,adjacent,adjacent,adjacent,non_payoff_behavior
10.1098_rspb.2014.1661,literature/output/paper_analysis_reports/broad_all/10.1098_rspb.2014.1661.md,empirical,experimental,lab_experiment,adjacent,adjacent,adjacent,non_payoff_behavior
10.1098_rstb.2020.0302,literature/output/paper_analysis_reports/broad_all/10.1098_rstb.2020.0302.md,empirical,experimental,lab_experiment,adjacent,adjacent,adjacent,non_payoff_behavior
10.1111_joes.12018,literature/output/paper_analysis_reports/broad_all/10.1111_joes.12018.md,empirical,experimental,lab_experiment,adjacent,adjacent,adjacent,non_payoff_behavior
10.1126_science.1145850,literature/output/paper_analysis_reports/broad_all/10.1126_science.1145850.md,empirical,experimental,lab_experiment,adjacent,adjacent,adjacent,non_payoff_behavior
10.1177_1368430211402102,literature/output/paper_analysis_reports/broad_all/10.1177_1368430211402102.md,empirical,experimental,lab_experiment,adjacent,adjacent,adjacent,non_payoff_behavior
10.1523_jneurosci.1642-12.2013,literature/output/paper_analysis_reports/broad_all/10.1523_jneurosci.1642-12.2013.md,empirical,experimental,lab_experiment,adjacent,adjacent,adjacent,non_payoff_behavior
10.3389_fnsys.2022.765720,literature/output/paper_analysis_reports/broad_all/10.3389_fnsys.2022.765720.md,empirical,experimental,lab_experiment,adjacent,adjacent,adjacent,non_payoff_behavior
10.3389_fpsyg.2019.00651,literature/output/paper_analysis_reports/broad_all/10.3389_fpsyg.2019.00651.md,empirical,experimental,lab_experiment,adjacent,adjacent,adjacent,non_payoff_behavior
10.1016_j.jebo.2011.10.002,literature/output/paper_analysis_reports/broad_all/10.1016_j.jebo.2011.10.002.md,empirical,experimental,lab_experiment,adjacent,adjacent,adjacent,non_payoff_behavior
10.1007_s00199-018-1146-4,literature/output/paper_analysis_reports/broad_all/10.1007_s00199-018-1146-4.md,empirical,experimental,lab_experiment,adjacent,adjacent,adjacent,non_payoff_behavior
10.1016_j.amc.2019.06.038,literature/output/paper_analysis_reports/broad_all/10.1016_j.amc.2019.06.038.md,theory,N/A,N/A,adjacent,adjacent,adjacent,non_payoff_behavior
10.1016_j.jebo.2014.07.005,literature/output/paper_analysis_reports/broad_all/10.1016_j.jebo.2014.07.005.md,empirical,experimental,lab_experiment,adjacent,adjacent,adjacent,non_payoff_behavior
10.1016_j.jebo.2019.08.008,literature/output/paper_analysis_reports/broad_all/10.1016_j.jebo.2019.08.008.md,empirical,experimental,lab_experiment,adjacent,adjacent,adjacent,non_payoff_behavior
10.1016_j.joep.2022.102573,literature/output/paper_analysis_reports/broad_all/10.1016_j.joep.2022.102573.md,empirical,experimental,lab_experiment,adjacent,adjacent,adjacent,non_payoff_behavior
10.1017_ehs.2020.22,literature/output/paper_analysis_reports/broad_all/10.1017_ehs.2020.22.md,empirical,experimental,lab_experiment,adjacent,adjacent,adjacent,non_payoff_behavior
10.1017_jdm.2025.1,literature/output/paper_analysis_reports/broad_all/10.1017_jdm.2025.1.md,empirical,experimental,lab_experiment,adjacent,adjacent,adjacent,non_payoff_behavior
10.1073_pnas.1608164114,literature/output/paper_analysis_reports/broad_all/10.1073_pnas.1608164114.md,empirical,experimental,lab_experiment,adjacent,adjacent,adjacent,non_payoff_behavior
10.1080_17470919.2017.1411828,literature/output/paper_analysis_reports/broad_all/10.1080_17470919.2017.1411828.md,empirical,experimental,lab_experiment,adjacent,adjacent,adjacent,non_payoff_behavior
10.1111_caje.12557,literature/output/paper_analysis_reports/broad_all/10.1111_caje.12557.md,empirical,experimental,lab_experiment,adjacent,adjacent,adjacent,non_payoff_behavior
10.1155_2022_5508783,literature/output/paper_analysis_reports/broad_all/10.1155_2022_5508783.md,theory,N/A,N/A,adjacent,adjacent,adjacent,non_payoff_behavior
10.1177_1043463107080449,literature/output/paper_analysis_reports/broad_all/10.1177_1043463107080449.md,empirical,experimental,lab_experiment,adjacent,adjacent,adjacent,non_payoff_behavior
10.1209_0295-5075_86_38001,literature/output/paper_analysis_reports/broad_all/10.1209_0295-5075_86_38001.md,theory,N/A,N/A,adjacent,adjacent,adjacent,non_payoff_behavior
10.1371_journal.pone.0026008,literature/output/paper_analysis_reports/broad_all/10.1371_journal.pone.0026008.md,empirical,experimental,lab_experiment,adjacent,adjacent,adjacent,non_payoff_behavior
