wave,feature,level,n,true_mean_effect,true_positive_share,baseline_mean_effect,baseline_positive_share,baseline_reasoning_mean_effect,baseline_reasoning_positive_share,baseline_joint_mean_effect,baseline_joint_positive_share,baseline_joint_reasoning_mean_effect,baseline_joint_reasoning_positive_share
learning_wave,CONFIG_chat,0,78,-3.660992140903144,0.4230769230769231,-4.517669748650367,0.038461538461538464,-1.101478221199407,0.32051282051282054,0.9882653685441829,0.9615384615384616,2.731855112133927,1.0
learning_wave,CONFIG_chat,1,72,-0.9745830220379096,0.4305555555555556,-3.805708846458713,0.027777777777777776,-2.659254347318651,0.09722222222222222,0.7296345415702381,0.8333333333333334,2.104634541570238,0.9444444444444444
learning_wave,CONFIG_allOrNothing,0,73,-2.612553051162456,0.3698630136986301,-3.831117610121493,0.0273972602739726,-1.504751086387284,0.2328767123287671,0.8377146670373735,0.9041095890410958,2.2897694615579214,0.9863013698630136
learning_wave,CONFIG_allOrNothing,1,77,-2.142999894056044,0.4805194805194805,-4.502827166245286,0.03896103896103896,-2.1757764279769463,0.19480519480519481,0.8891586369581187,0.8961038961038961,2.5644833122827944,0.961038961038961
learning_wave,CONFIG_defaultContribProp,0,78,-1.3555454047358337,0.4358974358974359,-4.31440961227998,0.02564102564102564,-1.6238159230793954,0.24358974358974358,0.8890045897411175,0.9102564102564102,2.5172097179462454,0.9743589743589743
learning_wave,CONFIG_defaultContribProp,1,72,-3.4721503195524943,0.4166666666666667,-4.025907327526634,0.041666666666666664,-2.09338850361533,0.18055555555555555,0.8371670519402256,0.8888888888888888,2.3371670519402254,0.9722222222222222
learning_wave,CONFIG_rewardExists,0,78,-2.7354709653223495,0.4358974358974359,-4.463527475686027,0.0641025641025641,-1.4900161202836173,0.24358974358974358,0.8817787515112548,0.8974358974358975,2.5099838797163834,0.9871794871794872
learning_wave,CONFIG_rewardExists,1,72,-1.9772309622504356,0.4166666666666667,-3.8643629755034166,0.0,-2.238338289977423,0.18055555555555555,0.8449950433559101,0.9027777777777778,2.34499504335591,0.9583333333333334
learning_wave,CONFIG_showNRounds,0,71,-2.2674358175440292,0.4507042253521127,-3.4719126426666183,0.056338028169014086,-0.90212673724104,0.2676056338028169,0.9429436852941713,0.9014084507042254,2.3373098824772702,0.971830985915493
learning_wave,CONFIG_showNRounds,1,79,-2.4650559687537785,0.4050632911392405,-4.808651641904129,0.012658227848101266,-2.7003875432453515,0.16455696202531644,0.7932833428305979,0.8987341772151899,2.5148023301723703,0.9746835443037974
