wave,feature,true_effect_corr,baseline_corr,baseline_reasoning_corr,baseline_joint_corr,baseline_joint_reasoning_corr,n_variants_positive_corr,n_variants_negative_corr,consistent_direction
learning_wave,control_pct,-0.4351249521862234,0.29379957592142136,-0.25649620614959706,-0.3850600707112431,-0.6009720416376757,1,3,mixed
learning_wave,CONFIG_playerCount,0.08585736475224888,-0.21456251278412336,-0.06994821438400274,0.15583450897962897,0.1663376184384834,2,2,mixed
learning_wave,CONFIG_numRounds,-0.042893645854586875,-0.03501454807387765,-0.014234779247949175,-0.05399329821490927,-0.07086634773525269,0,4,negative
learning_wave,CONFIG_MPCR,0.2618025490734096,0.2631376259169821,0.15018676253492463,0.053928366753570774,0.17895045369886584,4,0,positive
learning_wave,CONFIG_punishmentCost,0.013051634222405325,-0.19254692173129245,-0.1809787910915097,0.008098849915554663,0.2011121666042555,2,2,mixed
learning_wave,CONFIG_punishmentTech,-0.16235191565944887,0.12123399200990732,0.13164318511169906,-0.004581615531330975,0.012294247742060796,3,1,mixed
learning_wave,CONFIG_rewardTech,-0.10848825436157522,-0.09463939029803058,-0.06022988914405147,-0.051091341639271065,0.07098262848420858,1,3,mixed
validation_20,control_pct,-0.5730252792923531,0.055666295911908734,-0.4750884406904404,-0.16239697385030208,-0.3967653355171802,1,3,mixed
validation_20,CONFIG_playerCount,0.09430962698263454,-0.2543579068400839,0.1970284494311813,0.1750204753214364,0.05375867413387235,3,1,mixed
validation_20,CONFIG_numRounds,0.34311386845956365,0.3884701194082313,0.1660673342340435,0.10500591966117381,0.31377111351606624,4,0,positive
validation_20,CONFIG_MPCR,0.2515069169961928,0.16451543768308438,0.33347433938820575,0.18906415800193482,0.3049714240153688,4,0,positive
validation_20,CONFIG_punishmentCost,-0.19141590354986537,-0.1740731808976725,-0.20018956689239892,-0.4860391022167776,-0.4689083234880436,0,4,negative
validation_20,CONFIG_punishmentTech,0.08218072136883386,0.30797177921272567,0.15971652220843807,-0.14645818625371457,0.30095980970237424,3,1,mixed
validation_20,CONFIG_rewardTech,-0.2933990874816409,-0.04072486598497505,0.1283362523809857,0.44191152432248004,0.45286745677878615,3,1,mixed
