wave,input_group,mode,feature,median_value,mean_value,n_variants
learning,baseline,joint,CONFIG_MPCR,0.023663515840341827,0.023663515840341827,1
learning,baseline,joint,CONFIG_numRounds,-0.08635833443479286,-0.08635833443479286,1
learning,baseline,joint,CONFIG_playerCount,0.26069340592896767,0.26069340592896767,1
learning,baseline,joint,CONFIG_punishmentCost,-0.010457151327461115,-0.010457151327461115,1
learning,baseline,joint,CONFIG_punishmentTech,-0.11414925447526385,-0.11414925447526385,1
learning,baseline,joint,CONFIG_rewardTech,0.02199995797380032,0.02199995797380032,1
learning,baseline,joint,control_pct,-0.7923802524945113,-0.7923802524945113,1
learning,baseline,joint_reasoning,CONFIG_MPCR,0.0946008197785395,0.0946008197785395,1
learning,baseline,joint_reasoning,CONFIG_numRounds,0.0013793702943845567,0.0013793702943845567,1
learning,baseline,joint_reasoning,CONFIG_playerCount,0.19987217744735472,0.19987217744735472,1
learning,baseline,joint_reasoning,CONFIG_punishmentCost,0.013546723284560212,0.013546723284560212,1
learning,baseline,joint_reasoning,CONFIG_punishmentTech,-0.1322846252555636,-0.1322846252555636,1
learning,baseline,joint_reasoning,CONFIG_rewardTech,-0.004501445181598373,-0.004501445181598373,1
learning,baseline,joint_reasoning,control_pct,-0.6857572796444442,-0.6857572796444442,1
learning,baseline,reasoning,CONFIG_MPCR,0.044573076626017186,0.044573076626017186,1
learning,baseline,reasoning,CONFIG_numRounds,-0.07140107842908514,-0.07140107842908514,1
learning,baseline,reasoning,CONFIG_playerCount,0.15436392168952717,0.15436392168952717,1
learning,baseline,reasoning,CONFIG_punishmentCost,-0.038622778445417345,-0.038622778445417345,1
learning,baseline,reasoning,CONFIG_punishmentTech,-0.11752784920362758,-0.11752784920362758,1
learning,baseline,reasoning,CONFIG_rewardTech,-0.05544321388954845,-0.05544321388954845,1
learning,baseline,reasoning,control_pct,-0.7193932182472812,-0.7193932182472812,1
learning,baseline,single,CONFIG_MPCR,-0.06728312067836208,-0.06728312067836208,1
