wave,input_group,mode,feature,median_value,mean_value,n_variants,baseline_median_value,baseline_mean_value,median_delta_vs_baseline,mean_delta_vs_baseline
learning,both,joint,CONFIG_MPCR,0.05158132585385259,0.05450676380162876,8,0.023663515840341827,0.023663515840341827,0.027917810013510763,0.030843247961286936
learning,both,joint,CONFIG_numRounds,-0.13839410311384598,-0.13089564947139068,8,-0.08635833443479286,-0.08635833443479286,-0.052035768679053115,-0.044537315036597816
learning,both,joint,CONFIG_playerCount,0.26177601954696705,0.2538450546290131,8,0.26069340592896767,0.26069340592896767,0.001082613617999384,-0.0068483512999545915
learning,both,joint,CONFIG_punishmentCost,0.041600308035398284,0.03915905094507355,8,-0.010457151327461115,-0.010457151327461115,0.052057459362859396,0.04961620227253466
learning,both,joint,CONFIG_punishmentTech,-0.1827462132161884,-0.18227742370497313,8,-0.11414925447526385,-0.11414925447526385,-0.06859695874092454,-0.06812816922970928
learning,both,joint,CONFIG_rewardTech,0.020009526962289272,0.012001709989600942,8,0.02199995797380032,0.02199995797380032,-0.0019904310115110464,-0.009998247984199377
learning,both,joint,control_pct,-0.9511032356145395,-0.9418520442992377,8,-0.7923802524945113,-0.7923802524945113,-0.1587229831200282,-0.14947179180472647
learning,both,joint_reasoning,CONFIG_MPCR,0.054536758321058865,0.0455999659807307,8,0.0946008197785395,0.0946008197785395,-0.040064061457480635,-0.0490008537978088
learning,both,joint_reasoning,CONFIG_numRounds,-0.01567114341415506,-0.0280175177684791,8,0.0013793702943845567,0.0013793702943845567,-0.017050513708539616,-0.029396888062863655
learning,both,joint_reasoning,CONFIG_playerCount,0.146038956122975,0.14685256519381262,8,0.19987217744735472,0.19987217744735472,-0.05383322132437973,-0.0530196122535421
learning,both,joint_reasoning,CONFIG_punishmentCost,0.05452785248084414,0.06603145437293335,8,0.013546723284560212,0.013546723284560212,0.040981129196283925,0.05248473108837314
learning,both,joint_reasoning,CONFIG_punishmentTech,-0.09904659076219605,-0.06505438512917888,8,-0.1322846252555636,-0.1322846252555636,0.03323803449336754,0.0672302401263847
