variation,family,mode,input_group,rmse_validation,r2_validation,correlation_validation,directional_accuracy_validation,validation_rmse_percentile,validation_r2_percentile,validation_correlation_percentile,validation_directional_accuracy_percentile,rmse_learning,r2_learning,correlation_learning,directional_accuracy_learning,learning_rmse_percentile,learning_r2_percentile,learning_correlation_percentile,learning_directional_accuracy_percentile,mean_crosswave_rank
paper_only_freeform_joint_reasoning,paper_only_freeform,joint_reasoning,paper_only,6.685323697210872,0.12102691208258065,0.5926102207585376,0.7,94.91525423728814,94.91525423728814,72.88135593220339,96.61016949152543,13.610710152371476,0.16619587779249845,0.4188697481439758,0.66,100.0,100.0,86.44067796610169,96.61016949152543,2.5
both_refined_joint_reasoning,both_refined,joint_reasoning,both,6.339034658114914,0.20972735327064085,0.6071149291690193,0.65,98.30508474576271,98.30508474576271,76.27118644067797,93.22033898305085,15.009536100861538,-0.013997784864431706,0.4474884360016481,0.48,84.7457627118644,84.7457627118644,98.30508474576271,23.728813559322035,5.5
paper_only_freeform_reasoning,paper_only_freeform,reasoning,paper_only,8.497080481430531,-0.4199405483366261,0.6510998392647236,0.5,72.88135593220339,72.88135593220339,84.7457627118644,37.28813559322034,14.76418468131351,0.018881635529806706,0.4498788000654359,0.5704697986577181,93.22033898305085,93.22033898305085,100.0,42.3728813559322,8.5
both_uncertainty_reasoning,both_uncertainty,reasoning,both,8.432746704251588,-0.3985204099033568,0.7025117508290144,0.5,74.57627118644068,74.57627118644068,89.83050847457628,37.28813559322034,14.93681438847013,-0.004195880366587579,0.439139846723128,0.5374149659863946,86.44067796610169,86.44067796610169,94.91525423728814,35.59322033898305,8.5
both_contrastive_reasoning,both_contrastive,reasoning,both,8.190865474132135,-0.3194419386839287,0.760996840819249,0.55,77.96610169491525,77.96610169491525,96.61016949152543,44.067796610169495,15.04985461009537,-0.019452688790398298,0.4363155248011667,0.5,81.35593220338983,81.35593220338983,93.22033898305085,28.8135593220339,9.0
both_rules_reasoning,both_rules,reasoning,both,9.098604952544688,-0.628097148990967,0.7737850197114955,0.6,69.49152542372882,69.49152542372882,98.30508474576271,77.96610169491525,16.21143877613204,-0.18289334318059303,0.425401709500783,0.5369127516778524,66.10169491525424,66.10169491525424,88.13559322033899,33.898305084745765,9.0
both_structured_joint_reasoning,both_structured,joint_reasoning,both,6.163891324196229,0.2527934954914637,0.6465521479301407,0.65,100.0,100.0,83.05084745762711,93.22033898305085,15.080030582343683,-0.023544929913356327,0.3650144259209796,0.4666666666666667,79.66101694915254,79.66101694915254,72.88135593220339,13.559322033898304,12.0
baseline_joint_reasoning,baseline,joint_reasoning,baseline,7.775154275461146,-0.1889093100537813,0.5267772584324578,0.45,86.44067796610169,86.44067796610169,59.32203389830509,22.033898305084747,13.983393852598835,0.11990886407829449,0.3311095886976135,0.6533333333333333,98.30508474576271,98.30508474576271,55.932203389830505,93.22033898305085,13.0
paper_only_quantitative_joint,paper_only_quantitative,joint,paper_only,9.10913438332694,-0.6318675853873505,0.3681368379740131,0.6,67.79661016949153,67.79661016949153,37.28813559322034,77.96610169491525,16.09185499128359,-0.1655064667124979,0.272363553856943,0.6466666666666666,67.79661016949153,67.79661016949153,47.45762711864407,89.83050847457628,13.5
both_uncertainty,both_uncertainty,single,both,9.86639732292672,-0.9144670629597031,0.5346828227879714,0.8,50.847457627118644,50.847457627118644,62.71186440677966,100.0,17.927883158297938,-0.44664007898702085,0.272770700445292,0.6333333333333333,37.28813559322034,37.28813559322034,49.152542372881356,86.44067796610169,13.5
both_freeform_reasoning,both_freeform,reasoning,both,9.816776384760397,-0.8952586805176166,0.7068737565199087,0.55,55.932203389830505,55.932203389830505,91.52542372881356,44.067796610169495,16.315034527354715,-0.1980597041444021,0.4296978199664074,0.4933333333333333,64.40677966101696,64.40677966101696,89.83050847457628,27.11864406779661,14.5
both_refined_reasoning,both_refined,reasoning,both,7.994917348308355,-0.2570676622763597,0.7988998427294773,0.65,79.66101694915254,79.66101694915254,100.0,93.22033898305085,17.063029155399953,-0.3104327324225655,0.3482322489564575,0.56,49.152542372881356,49.152542372881356,67.79661016949153,40.67796610169491,15.0
baseline,baseline,single,baseline,7.541471055480931,-0.11851763256141679,0.5815833527666314,0.55,91.52542372881356,91.52542372881356,67.79661016949153,44.067796610169495,14.869648125734413,0.004814934916742342,0.3383602620086082,0.4733333333333333,91.52542372881356,91.52542372881356,61.016949152542374,18.64406779661017,15.5
both_quantitative_joint_reasoning,both_quantitative,joint_reasoning,both,7.813782811383928,-0.20075213882559728,0.5878904907622567,0.5,84.7457627118644,84.7457627118644,71.1864406779661,37.28813559322034,14.900894658293543,0.0006280497452484379,0.3744515864737421,0.4533333333333333,88.13559322033899,88.13559322033899,79.66101694915254,5.084745762711864,15.5
both_uncertainty_joint,both_uncertainty,joint,both,10.970368720535328,-1.3668631446522719,0.4646518335087138,0.6,40.67796610169491,40.67796610169491,50.847457627118644,77.96610169491525,16.4111394793378,-0.2122157991315683,0.2037103140311818,0.66,61.016949152542374,61.016949152542374,37.28813559322034,96.61016949152543,16.0
both_contrastive_joint_reasoning,both_contrastive,joint_reasoning,both,7.058678961384207,0.020109476220838363,0.3744281425305228,0.4,93.22033898305085,93.22033898305085,38.983050847457626,11.864406779661017,14.10550473425384,0.10447084604751089,0.3882106581877519,0.68,96.61016949152543,96.61016949152543,83.05084745762711,100.0,16.5
both_uncertainty_joint_reasoning,both_uncertainty,joint_reasoning,both,7.993415154721992,-0.2565953167867503,0.6111585252572633,0.45,81.35593220338983,81.35593220338983,77.96610169491525,22.033898305084747,14.880826677283494,0.0033180724390844407,0.370435437814076,0.4733333333333333,89.83050847457628,89.83050847457628,76.27118644067797,18.64406779661017,16.5
both_ensemble_reasoning,both_ensemble,reasoning,both,9.82024844845269,-0.8965995733534529,0.7247703981239149,0.5,54.23728813559322,54.23728813559322,93.22033898305085,37.28813559322034,16.60812287841354,-0.24149097151287813,0.4446867441410593,0.48,57.6271186440678,57.6271186440678,96.61016949152543,23.728813559322035,16.5
both_structured_reasoning,both_structured,reasoning,both,9.722168381201774,-0.8589040545402915,0.755517444497762,0.5,57.6271186440678,57.6271186440678,94.91525423728814,37.28813559322034,16.49678604631178,-0.22490145518336946,0.4339474132017055,0.4697986577181208,59.32203389830509,59.32203389830509,91.52542372881356,15.254237288135593,19.0
data_only_freeform_joint,data_only_freeform,joint,data_only,9.422251410735049,-0.7459832543568159,0.4298295823512734,0.5,61.016949152542374,61.016949152542374,42.3728813559322,37.28813559322034,14.397295020858785,0.06703731295561288,0.2614538442350944,0.6733333333333333,94.91525423728814,94.91525423728814,45.76271186440678,98.30508474576271,19.5
both_freeform_joint_reasoning,both_freeform,joint_reasoning,both,12.024694123857818,-1.8436672315020726,0.1549204835706341,0.65,35.59322033898305,35.59322033898305,18.64406779661017,93.22033898305085,16.077299590795832,-0.1633989730668164,0.191604788496844,0.6466666666666666,69.49152542372882,69.49152542372882,33.898305084745765,89.83050847457628,21.0
both_quantitative_reasoning,both_quantitative,reasoning,both,9.93262630753391,-0.9402553543253243,0.6023006217130892,0.5789473684210527,49.152542372881356,49.152542372881356,74.57627118644068,45.76271186440678,17.282468769587958,-0.34435519052888663,0.3805652721174656,0.5033557046979866,44.067796610169495,44.067796610169495,81.35593220338983,30.508474576271187,25.0
both_ensemble_joint,both_ensemble,joint,both,11.880481258279708,-1.7758677084799852,0.2349728308363024,0.6,37.28813559322034,37.28813559322034,27.11864406779661,77.96610169491525,17.238113020243244,-0.3374634249942814,0.2202235012912706,0.6333333333333333,45.76271186440678,45.76271186440678,40.67796610169491,86.44067796610169,25.0
both_ensemble_joint_reasoning,both_ensemble,joint_reasoning,both,9.861330541826865,-0.9125012603468403,0.6339402268985461,0.45,52.54237288135593,52.54237288135593,79.66101694915254,22.033898305084747,15.039280455764931,-0.018020639998379107,0.3730517863126471,0.46,83.05084745762711,83.05084745762711,77.96610169491525,6.779661016949152,25.5
both_contrastive_joint,both_contrastive,joint,both,7.54856422279124,-0.12062267645839131,0.4746376011131715,0.6,88.13559322033899,88.13559322033899,54.23728813559322,77.96610169491525,19.81841185661637,-0.7678286410308013,-0.0181709794943572,0.62,25.423728813559322,25.423728813559322,13.559322033898304,79.66101694915254,26.0
paper_only_structured_reasoning,paper_only_structured,reasoning,paper_only,9.200127113183798,-0.6646324380632695,0.5618435450504523,0.5,64.40677966101696,64.40677966101696,66.10169491525424,37.28813559322034,16.321944000978778,-0.19907468389019756,0.3531598850195359,0.4765100671140939,62.71186440677966,62.71186440677966,71.1864406779661,20.338983050847457,26.5
both_rules_joint_reasoning,both_rules,joint_reasoning,both,13.555679433182728,-2.6138762569132217,0.5422814422178776,0.45,30.508474576271187,30.508474576271187,64.40677966101696,22.033898305084747,15.428665828666269,-0.07141867570902005,0.3693473783202706,0.5866666666666667,76.27118644067797,76.27118644067797,74.57627118644068,59.32203389830509,27.0
both_rules_joint,both_rules,joint,both,16.145062377514527,-4.1263724048554575,0.1755730043782706,0.6,28.8135593220339,28.8135593220339,22.033898305084747,77.96610169491525,16.860931704544104,-0.27957458454884687,0.2029986524541946,0.6533333333333333,52.54237288135593,52.54237288135593,35.59322033898305,93.22033898305085,27.5
data_only_structured_joint_reasoning,data_only_structured,joint_reasoning,data_only,6.6776520763828575,0.12304305357866907,0.5017219231841019,0.6,96.61016949152543,96.61016949152543,55.932203389830505,77.96610169491525,18.352963033073237,-0.5160546139496647,0.3313446707483758,0.4533333333333333,32.20338983050848,32.20338983050848,57.6271186440678,5.084745762711864,28.0
data_only_quantitative_joint,data_only_quantitative,joint,data_only,9.618629177867929,-0.8195209547444204,0.5270727503509934,0.45,59.32203389830509,59.32203389830509,61.016949152542374,22.033898305084747,16.72921751420082,-0.25966111352296917,0.1524017562143545,0.62,55.932203389830505,55.932203389830505,25.423728813559322,79.66101694915254,29.0
paper_only_quantitative_reasoning,paper_only_quantitative,reasoning,paper_only,11.27093740292288,-1.4983355815582513,0.6628205419659542,0.5,38.983050847457626,38.983050847457626,86.44067796610169,37.28813559322034,17.70211847367088,-0.4104345983540092,0.338643193655131,0.5436241610738255,40.67796610169491,40.67796610169491,62.71186440677966,37.28813559322034,31.0
both_freeform_joint,both_freeform,joint,both,10.480843984623212,-1.1603454878626422,0.311935794582357,0.65,44.067796610169495,44.067796610169495,33.898305084745765,93.22033898305085,17.722155511172343,-0.413629348774889,0.1198516735923931,0.5866666666666667,38.983050847457626,38.983050847457626,22.033898305084747,59.32203389830509,32.0
paper_only_quantitative_joint_reasoning,paper_only_quantitative,joint_reasoning,paper_only,9.174799669369358,-0.6554797707727207,0.6859193759026834,0.4,66.10169491525424,66.10169491525424,88.13559322033899,11.864406779661017,17.407707457451536,-0.3639097250184955,0.3378907640401997,0.4933333333333333,42.3728813559322,42.3728813559322,59.32203389830509,27.11864406779661,32.5
paper_only_structured_joint_reasoning,paper_only_structured,joint_reasoning,paper_only,7.9750548489580995,-0.2508293263998156,-0.0034261331123103,0.65,83.05084745762711,83.05084745762711,8.474576271186441,93.22033898305085,21.22128868244834,-1.0269637104072067,0.2523211336904023,0.5533333333333333,22.033898305084747,22.033898305084747,44.067796610169495,38.983050847457626,32.5
both_rules,both_rules,single,both,20.7153231495759,-7.439449575516395,0.5869327757156173,0.6,16.949152542372882,16.949152542372882,69.49152542372882,77.96610169491525,27.530876523064507,-2.411477757014382,0.34349846888518,0.58,15.254237288135593,15.254237288135593,64.40677966101696,52.54237288135593,32.5
paper_only_freeform_joint,paper_only_freeform,joint,paper_only,16.59088674771033,-4.413397215787472,0.1496778193090953,0.6,27.11864406779661,27.11864406779661,16.949152542372882,77.96610169491525,17.011851924090927,-0.30258374555472445,0.1875897883807414,0.6266666666666667,50.847457627118644,50.847457627118644,32.20338983050848,83.05084745762711,34.0
data_only_structured_joint,data_only_structured,joint,data_only,8.231710146004335,-0.33263383956461356,0.4724584286831196,0.5,76.27118644067797,76.27118644067797,52.54237288135593,37.28813559322034,19.81841185661637,-0.7678286410308013,-0.0181709794943572,0.62,25.423728813559322,25.423728813559322,13.559322033898304,79.66101694915254,35.0
both_structured_joint,both_structured,joint,both,9.238003810025251,-0.6783671542650278,0.2674942649418029,0.55,62.71186440677966,62.71186440677966,28.8135593220339,44.067796610169495,18.07509122000685,-0.4704946956837541,0.1678339799345033,0.6266666666666667,33.898305084745765,33.898305084745765,28.8135593220339,83.05084745762711,35.5
data_only_freeform_reasoning,data_only_freeform,reasoning,data_only,8.631430697662875,-0.46519785271930614,0.5089615521090066,0.4,71.1864406779661,71.1864406779661,57.6271186440678,11.864406779661017,15.894306936363796,-0.13706595826734458,0.2941333017168439,0.4666666666666667,72.88135593220339,72.88135593220339,50.847457627118644,13.559322033898304,36.0
baseline_joint,baseline,joint,baseline,7.543355788461948,-0.11907677294161267,0.4433144316667045,0.35,89.83050847457628,89.83050847457628,47.45762711864407,1.694915254237288,18.04665906990417,-0.4658721527230587,0.1572122614588915,0.6066666666666667,35.59322033898305,35.59322033898305,27.11864406779661,69.49152542372882,37.5
baseline_reasoning,baseline,reasoning,baseline,10.068919865829844,-0.9938682910373822,0.4365981432419155,0.45,45.76271186440678,45.76271186440678,44.067796610169495,22.033898305084747,15.932582890114316,-0.14254901435856193,0.3456297167458312,0.4666666666666667,71.1864406779661,71.1864406779661,66.10169491525424,13.559322033898304,39.5
data_only_freeform_joint_reasoning,data_only_freeform,joint_reasoning,data_only,10.571317090323957,-1.1978036858410346,0.4137934395186808,0.4,42.3728813559322,42.3728813559322,40.67796610169491,11.864406779661017,15.720237307460902,-0.11229673455559341,0.3043910831807094,0.5066666666666667,74.57627118644068,74.57627118644068,52.54237288135593,32.20338983050848,42.0
both_quantitative_joint,both_quantitative,joint,both,16.60787594322707,-4.424489612923856,-0.0488132390338945,0.6,23.728813559322035,23.728813559322035,6.779661016949152,77.96610169491525,18.662669121539476,-0.5676531500738995,0.1752672754416129,0.62,30.508474576271187,30.508474576271187,30.508474576271187,79.66101694915254,42.5
both_freeform,both_freeform,single,both,20.815489545388697,-7.521262736878189,0.4375370719484456,0.6,15.254237288135593,15.254237288135593,45.76271186440678,77.96610169491525,26.001169362354613,-2.0429038315987857,0.2125781878217598,0.5866666666666667,16.949152542372882,16.949152542372882,38.983050847457626,59.32203389830509,42.5
both_refined,both_refined,single,both,18.724186104759124,-5.895036917259569,0.2127007589333994,0.6,20.338983050847457,20.338983050847457,25.423728813559322,77.96610169491525,24.18181306586018,-1.6319654622510806,0.2252481337099644,0.5933333333333334,20.338983050847457,20.338983050847457,42.3728813559322,64.40677966101696,43.0
data_only_structured_reasoning,data_only_structured,reasoning,data_only,10.004396837548718,-0.9683962012769036,0.4447193995539003,0.3684210526315789,47.45762711864407,47.45762711864407,49.152542372881356,3.389830508474576,15.417097639197538,-0.06981260972539394,0.3281154000792829,0.4662162162162162,77.96610169491525,77.96610169491525,54.23728813559322,8.474576271186441,44.0
data_only_quantitative_reasoning,data_only_quantitative,reasoning,data_only,13.08027073499762,-2.3648380304427237,0.6438897166998264,0.4,33.898305084745765,33.898305084745765,81.35593220338983,11.864406779661017,17.07120835010845,-0.31168935025847433,0.3497993367001137,0.4444444444444444,47.45762711864407,47.45762711864407,69.49152542372882,0.0,44.0
paper_only_structured_joint,paper_only_structured,joint,paper_only,16.59088674771033,-4.413397215787472,0.1496778193090953,0.6,27.11864406779661,27.11864406779661,16.949152542372882,77.96610169491525,19.810632730297662,-0.7664410966193358,-0.0152768872132968,0.62,27.11864406779661,27.11864406779661,15.254237288135593,79.66101694915254,44.0
both_contrastive,both_contrastive,single,both,23.689033465616923,-10.036347857232668,0.3451169859647032,0.65,13.559322033898304,13.559322033898304,35.59322033898305,93.22033898305085,33.14495844908379,-3.9446712741477246,-0.0743966699464592,0.5733333333333334,10.169491525423728,10.169491525423728,6.779661016949152,50.847457627118644,44.5
both_refined_joint,both_refined,joint,both,16.96684254830221,-4.661516233969906,0.0593232723312056,0.6,22.033898305084747,22.033898305084747,10.169491525423728,77.96610169491525,19.758463962020997,-0.7571499527319654,0.0414109424323267,0.62,28.8135593220339,28.8135593220339,20.338983050847457,79.66101694915254,45.0
paper_only_quantitative,paper_only_quantitative,single,paper_only,41.41208071354243,-32.72755050596017,0.2832950005329357,0.65,1.694915254237288,1.694915254237288,32.20338983050848,93.22033898305085,45.1224717027334,-8.164066442618712,0.141376471907845,0.6,1.694915254237288,1.694915254237288,23.728813559322035,67.79661016949153,46.0
data_only_quantitative_joint_reasoning,data_only_quantitative,joint_reasoning,data_only,13.087547257331792,-2.368582773935991,0.2738466979505033,0.35,32.20338983050848,32.20338983050848,30.508474576271187,1.694915254237288,16.81147267553766,-0.2720787122185693,0.3991095163355745,0.4533333333333333,54.23728813559322,54.23728813559322,84.7457627118644,5.084745762711864,46.5
data_only_quantitative,data_only_quantitative,single,data_only,32.575284058651526,-19.86926340768834,0.2091128871347239,0.7,6.779661016949152,6.779661016949152,23.728813559322035,96.61016949152543,37.69322989866295,-5.394832500164756,0.0098737624049822,0.5933333333333334,5.084745762711864,5.084745762711864,18.64406779661017,64.40677966101696,47.0
both_structured,both_structured,single,both,25.18172918512113,-11.471014833253438,-0.088090992545229,0.75,10.169491525423728,10.169491525423728,3.389830508474576,98.30508474576271,29.91332839305181,-3.027466570574938,-0.1215177659079974,0.5933333333333334,11.864406779661017,11.864406779661017,5.084745762711864,64.40677966101696,51.0
data_only_freeform,data_only_freeform,single,data_only,24.800160310969765,-11.09594139609657,-0.2684013360825024,0.65,11.864406779661017,11.864406779661017,1.694915254237288,93.22033898305085,27.915218539618746,-2.507393809460099,-0.0212803682160928,0.6,13.559322033898304,13.559322033898304,10.169491525423728,67.79661016949153,52.0
paper_only_structured,paper_only_structured,single,paper_only,36.916236780962045,-25.801897594673466,0.1627153971356637,0.6,5.084745762711864,5.084745762711864,20.338983050847457,77.96610169491525,36.740158212361365,-5.075534776374827,0.0022072228008791,0.5733333333333334,6.779661016949152,6.779661016949152,16.949152542372882,50.847457627118644,54.5
data_only_structured,data_only_structured,single,data_only,19.233800235588333,-6.275467414325765,-0.429849441193475,0.6,18.64406779661017,18.64406779661017,0.0,77.96610169491525,24.185248823579627,-1.6327134159327086,-0.2467444842882099,0.5866666666666667,18.64406779661017,18.64406779661017,0.0,59.32203389830509,55.5
both_ensemble,both_ensemble,single,both,29.99831610641927,-16.698010648506617,0.0814337177357271,0.6,8.474576271186441,8.474576271186441,11.864406779661017,77.96610169491525,35.934093933750844,-4.81186963668736,-0.0231009775150361,0.5733333333333334,8.474576271186441,8.474576271186441,8.474576271186441,50.847457627118644,56.0
paper_only_freeform,paper_only_freeform,single,paper_only,37.495230798240975,-26.649212105213692,0.1293539657843896,0.6,3.389830508474576,3.389830508474576,13.559322033898304,77.96610169491525,41.55659850128587,-6.7728887444277985,-0.1261169098049811,0.5733333333333334,3.389830508474576,3.389830508474576,3.389830508474576,50.847457627118644,58.0
both_quantitative,both_quantitative,single,both,43.44755824531384,-36.12457118244694,-0.0566957814284394,0.6,0.0,0.0,5.084745762711864,77.96610169491525,46.694592437366566,-8.81376479360174,-0.151734851261035,0.5733333333333334,0.0,0.0,1.694915254237288,50.847457627118644,59.5
