model,source_id,correlation,baseline_correlation
GPT-5 Mini,10.1093_qje_qjaa035,0.0407977998256683,0.5310259892384347
GPT-5 Mini,10.1007_s00199-007-0212-0,0.0802033841609954,0.5310259892384347
GPT-5 Mini,10.1016_j.jebo.2011.01.017,0.1202060356736183,0.5310259892384347
GPT-5 Mini,10.1111_1467-6435.00140,0.1463362127542495,0.5310259892384347
GPT-5 Mini,10.1111_j.1740-1461.2010.01197.x,0.1647077351808548,0.5310259892384347
GPT-5 Mini,10.1371_journal.pone.0045093,0.2219031006097793,0.5310259892384347
GPT-5 Mini,10.2307_2669365,0.2296151667833328,0.5310259892384347
GPT-5 Mini,10.1177_147470491301100204,0.2558211088180542,0.5310259892384347
GPT-5 Mini,10.1080_09638180.2011.631734,0.2615407407283783,0.5310259892384347
GPT-5 Mini,10.1016_j.leaqua.2023.101695,0.2821103632450104,0.5310259892384347
GPT-5 Mini,10.1016_j.jtbi.2008.06.017,0.2872333228588104,0.5310259892384347
GPT-5 Mini,10.1523_jneurosci.0595-16.2016,0.3023021519184112,0.5310259892384347
GPT-5 Mini,10.1002_mde.2877,0.3121631741523742,0.5310259892384347
GPT-5 Mini,10.3389_fpsyg.2019.01374,0.3135801553726196,0.5310259892384347
GPT-5 Mini,10.1177_000312240607100204,0.3210811018943786,0.5310259892384347
GPT-5 Mini,10.1007_s40881-023-00137-3,0.3395128548145294,0.5310259892384347
GPT-5 Mini,10.1038_s41467-020-20436-1,0.342229276895523,0.5310259892384347
GPT-5 Mini,10.1177_1046496404266546,0.3441698849201202,0.5310259892384347
GPT-5 Mini,10.1287_mnsc.2020.3762,0.3564534783363342,0.5310259892384347
GPT-5 Mini,10.1108_01437720310502177,0.3656871616840362,0.5310259892384347
GPT-5 Mini,10.1515_bejte-2019-0057,0.3672557771205902,0.5310259892384347
GPT-5 Mini,10.1016_j.physa.2015.08.053,0.3698237538337707,0.5310259892384347
GPT-5 Mini,10.1093_ej_ueaa116,0.3727001547813415,0.5310259892384347
GPT-5 Mini,10.1111_jels.12231,0.3769834041595459,0.5310259892384347
GPT-5 Mini,10.1038_ncomms1442,0.3830815553665161,0.5310259892384347
GPT-5 Mini,10.1007_s13235-011-0020-9,0.3875367641448974,0.5310259892384347
GPT-5 Mini,10.1037_pspa0000301,0.3879714906215668,0.5310259892384347
GPT-5 Mini,10.1287_mnsc.2017.2802,0.3894700706005096,0.5310259892384347
GPT-5 Mini,10.1037_npe0000009,0.3915548920631408,0.5310259892384347
GPT-5 Mini,10.1007_s10683-013-9367-7,0.3927027285099029,0.5310259892384347
GPT-5 Mini,10.1142_s021759082246002x,0.3930891156196594,0.5310259892384347
GPT-5 Mini,10.1073_pnas.2014759117,0.3938493132591247,0.5310259892384347
GPT-5 Mini,10.1038_s41598-023-33167-2,0.3946275115013122,0.5310259892384347
GPT-5 Mini,10.5751_es-07493-200323,0.3954282402992248,0.5310259892384347
GPT-5 Mini,10.1007_s00191-014-0375-3,0.4044885039329529,0.5310259892384347
GPT-5 Mini,10.1111_jpet.12181,0.4070861339569092,0.5310259892384347
GPT-5 Mini,10.1016_j.joep.2013.01.001,0.407909631729126,0.5310259892384347
GPT-5 Mini,10.1080_00036846.2011.591740,0.4095318615436554,0.5310259892384347
GPT-5 Mini,10.1016_j.socec.2019.101478,0.4117556810379028,0.5310259892384347
GPT-5 Mini,10.1016_j.jpubeco.2017.03.002,0.413025289773941,0.5310259892384347
GPT-5 Mini,10.1257_aer.100.1.420,0.4133239090442657,0.5310259892384347
GPT-5 Mini,10.1155_2022_7259257,0.4174621999263763,0.5310259892384347
GPT-5 Mini,10.1016_j.jtbi.2015.09.009,0.4182615280151367,0.5310259892384347
GPT-5 Mini,10.1016_j.ejpoleco.2013.11.005,0.424239307641983,0.5310259892384347
GPT-5 Mini,10.1098_rstb.2010.0135,0.4246114790439605,0.5310259892384347
GPT-5 Mini,10.1007_s00355-015-0884-5,0.4248576164245605,0.5310259892384347
GPT-5 Mini,10.1111_j.1468-0297.2004.00214.x,0.4254640936851501,0.5310259892384347
GPT-5 Mini,10.1093_aepp_ppq017,0.4293199777603149,0.5310259892384347
GPT-5 Mini,10.3390_brainsci11030317,0.4298708140850067,0.5310259892384347
GPT-5 Mini,10.1007_s11238-004-3672-8,0.4303215146064758,0.5310259892384347
GPT-5 Mini,10.1016_j.geb.2025.01.011,0.4307937026023865,0.5310259892384347
GPT-5 Mini,10.1016_j.jtbi.2012.09.012,0.4327344000339508,0.5310259892384347
GPT-5 Mini,10.1016_j.jebo.2011.01.005,0.436743676662445,0.5310259892384347
GPT-5 Mini,10.1109_tcsii.2019.2910893,0.4377658069133758,0.5310259892384347
GPT-5 Mini,10.1257_aer.90.4.980,0.4390004873275757,0.5310259892384347
GPT-5 Mini,10.1111_j.1467-937X.2010.00608.x,0.4390358328819275,0.5310259892384347
GPT-5 Mini,10.1016_j.geb.2004.08.007,0.4399627447128296,0.5310259892384347
GPT-5 Mini,10.1016_j.joep.2012.10.004,0.4411724507808685,0.5310259892384347
GPT-5 Mini,10.1016_j.jtbi.2012.10.022,0.4415447413921356,0.5310259892384347
GPT-5 Mini,10.1016_j.forpol.2004.03.006,0.4417997598648071,0.5310259892384347
GPT-5 Mini,10.1007_s40881-023-00159-x,0.4420323073863983,0.5310259892384347
GPT-5 Mini,10.1016_j.jpubeco.2004.05.011,0.4421290457248688,0.5310259892384347
GPT-5 Mini,10.1073_pnas.1604989113,0.4427573382854461,0.5310259892384347
GPT-5 Mini,10.1111_j.1468-0297.2009.02288.x,0.4433842599391937,0.5310259892384347
GPT-5 Mini,10.1177_0037549711406912,0.4449373483657837,0.5310259892384347
GPT-5 Mini,10.1016_j.physleta.2018.10.001,0.4485898911952972,0.5310259892384347
GPT-5 Mini,10.1093_jae_ejr034,0.4487106502056122,0.5310259892384347
GPT-5 Mini,10.3982_te2404,0.4493407309055328,0.5310259892384347
