model,variant_id,correlation,baseline_correlation
GPT-5 Mini,type_empirical__year_q2__discipline_math_phys_cs,0.2553150057792663,0.5310259892384347
GPT-5 Mini,citation_q3__jcr_q4__discipline_psych_social,0.2571223378181457,0.5310259892384347
GPT-5 Mini,type_empirical__citation_q3__discipline_math_phys_cs,0.258043110370636,0.5310259892384347
GPT-5 Mini,citation_q3__jcr_q4__discipline_economics,0.288946121931076,0.5310259892384347
GPT-5 Mini,citation_q3__jcr_q4,0.3391473889350891,0.5310259892384347
GPT-5 Mini,jcr_q3__discipline_other,0.3452313542366028,0.5310259892384347
GPT-5 Mini,type_empirical__year_q1_oldest__discipline_other,0.354977011680603,0.5310259892384347
GPT-5 Mini,jcr_q4__year_q2__discipline_math_phys_cs,0.3580993413925171,0.5310259892384347
GPT-5 Mini,jcr_q4__year_q2__discipline_economics,0.35930997133255,0.5310259892384347
GPT-5 Mini,type_empirical__jcr_q4__year_q2,0.3661564886569977,0.5310259892384347
GPT-5 Mini,citation_q3__jcr_q4__year_q2,0.3686667680740356,0.5310259892384347
GPT-5 Mini,citation_q3__year_q1_oldest__discipline_multidisciplinary,0.3736896216869354,0.5310259892384347
GPT-5 Mini,citation_q3__jcr_q4__discipline_math_phys_cs,0.3758614659309387,0.5310259892384347
GPT-5 Mini,jcr_q4__year_q2,0.3870896697044372,0.5310259892384347
GPT-5 Mini,type_empirical__citation_q3__jcr_q4,0.4022266268730163,0.5310259892384347
GPT-5 Mini,type_empirical__jcr_q3__discipline_other,0.4061252474784851,0.5310259892384347
GPT-5 Mini,jcr_q4__year_q2__discipline_psych_social,0.4131734073162079,0.5310259892384347
GPT-5 Mini,type_empirical__year_q3__discipline_other,0.4282954931259155,0.5310259892384347
GPT-5 Mini,type_empirical__citation_q3__year_q1_oldest,0.4439740478992462,0.5310259892384347
GPT-5 Mini,jcr_q4__discipline_economics,0.4485537707805633,0.5310259892384347
GPT-5 Mini,type_empirical__citation_q4_highest__jcr_q2,0.4514314234256744,0.5310259892384347
GPT-5 Mini,type_empirical__citation_q4_highest__discipline_psych_social,0.4615649580955505,0.5310259892384347
GPT-5 Mini,type_empirical__jcr_q3__year_q1_oldest,0.4622194170951843,0.5310259892384347
GPT-5 Mini,citation_q3__year_q2__discipline_math_phys_cs,0.4634297788143158,0.5310259892384347
GPT-5 Mini,jcr_q1__year_q3__discipline_other,0.463682621717453,0.5310259892384347
GPT-5 Mini,citation_q1_lowest__jcr_q3__discipline_other,0.4637274444103241,0.5310259892384347
GPT-5 Mini,type_empirical__jcr_q2__discipline_multidisciplinary,0.4657046496868133,0.5310259892384347
GPT-5 Mini,citation_q4_highest__year_q1_oldest__discipline_math_phys_cs,0.4722800850868225,0.5310259892384347
