scope,model,metric,term,term_group,term_value,term_label,coefficient,stderr,pvalue,nobs,r2,adj_r2,model_label
model,GPT-4.1,correlation_gain,"C(jcr_value, Treatment(reference='ANY'))[T.Q4]",jcr_value,Q4,jcr=Q4,-0.0236594188468498,0.0076957582395549,0.0021926245938431,715,0.2003834669783437,0.1749621321134934,GPT-4.1
model,GPT-4.1 Mini,correlation_gain,"C(jcr_value, Treatment(reference='ANY'))[T.Q4]",jcr_value,Q4,jcr=Q4,-0.0340760784635669,0.0069813534890401,1.3109571015950764e-06,716,0.2291249867132155,0.2046527640691906,GPT-4.1 Mini
model,GPT-5 Mini,correlation_gain,"C(jcr_value, Treatment(reference='ANY'))[T.Q4]",jcr_value,Q4,jcr=Q4,-0.0232446333759819,0.0077555665269318,0.0028225228262993,716,0.0859333896242913,0.0569154019933163,GPT-5 Mini
model,GPT-5 Nano,correlation_gain,"C(jcr_value, Treatment(reference='ANY'))[T.Q4]",jcr_value,Q4,jcr=Q4,-0.0207135502594386,0.0071100846687297,0.0036918661664276,716,0.1146977371190746,0.0865929033768229,GPT-5 Nano
model,GPT-5.1,correlation_gain,"C(jcr_value, Treatment(reference='ANY'))[T.Q4]",jcr_value,Q4,jcr=Q4,-0.0398186054017818,0.0101356033696551,9.40044904980498e-05,716,0.1140262708855456,0.0859001207549279,GPT-5.1
model,GPT-4.1,correlation_gain,"C(discipline_value, Treatment(reference='ANY'))[T.math_phys_cs]",discipline_value,math_phys_cs,discipline=math_phys_cs,-0.0139262133684139,0.0062649068196543,0.0265453950195313,715,0.2003834669783437,0.1749621321134934,GPT-4.1
model,GPT-4.1 Mini,correlation_gain,"C(discipline_value, Treatment(reference='ANY'))[T.math_phys_cs]",discipline_value,math_phys_cs,discipline=math_phys_cs,-0.011963284761807,0.0056848505386528,0.0357018311436168,716,0.2291249867132155,0.2046527640691906,GPT-4.1 Mini
model,GPT-5 Mini,correlation_gain,"C(discipline_value, Treatment(reference='ANY'))[T.math_phys_cs]",discipline_value,math_phys_cs,discipline=math_phys_cs,-0.0100802277150641,0.0063152849397186,0.1109081659961584,716,0.0859333896242913,0.0569154019933163,GPT-5 Mini
model,GPT-5 Nano,correlation_gain,"C(discipline_value, Treatment(reference='ANY'))[T.math_phys_cs]",discipline_value,math_phys_cs,discipline=math_phys_cs,-0.0132767822855054,0.0057896751285191,0.0221360638034516,716,0.1146977371190746,0.0865929033768229,GPT-5 Nano
model,GPT-5.1,correlation_gain,"C(discipline_value, Treatment(reference='ANY'))[T.math_phys_cs]",discipline_value,math_phys_cs,discipline=math_phys_cs,-0.0367123604000326,0.0082533265742827,1.008555656710625e-05,716,0.1140262708855456,0.0859001207549279,GPT-5.1
model,GPT-4.1,correlation_gain,"C(citation_value, Treatment(reference='ANY'))[T.Q3]",citation_value,Q3,citation=Q3,-0.0117463406437381,0.0057920165676158,0.0429405450356421,715,0.2003834669783437,0.1749621321134934,GPT-4.1
model,GPT-4.1 Mini,correlation_gain,"C(citation_value, Treatment(reference='ANY'))[T.Q3]",citation_value,Q3,citation=Q3,-0.0034725086011334,0.00525547320544,0.5089977634096323,716,0.2291249867132155,0.2046527640691906,GPT-4.1 Mini
model,GPT-5 Mini,correlation_gain,"C(citation_value, Treatment(reference='ANY'))[T.Q3]",citation_value,Q3,citation=Q3,-0.0137217772294682,0.0058382908327569,0.0190373767755157,716,0.0859333896242913,0.0569154019933163,GPT-5 Mini
model,GPT-5 Nano,correlation_gain,"C(citation_value, Treatment(reference='ANY'))[T.Q3]",citation_value,Q3,citation=Q3,-0.0082711311860649,0.0053523803834859,0.122725810197009,716,0.1146977371190746,0.0865929033768229,GPT-5 Nano
model,GPT-5.1,correlation_gain,"C(citation_value, Treatment(reference='ANY'))[T.Q3]",citation_value,Q3,citation=Q3,-0.0320849064684909,0.0076299519876503,2.951702844855437e-05,716,0.1140262708855456,0.0859001207549279,GPT-5.1
model,GPT-4.1,correlation_gain,"C(discipline_value, Treatment(reference='ANY'))[T.multidisciplinary]",discipline_value,multidisciplinary,discipline=multidisciplinary,-0.0046926503244122,0.007303858401054,0.5207683820606462,715,0.2003834669783437,0.1749621321134934,GPT-4.1
model,GPT-4.1 Mini,correlation_gain,"C(discipline_value, Treatment(reference='ANY'))[T.multidisciplinary]",discipline_value,multidisciplinary,discipline=multidisciplinary,-0.0168001045470349,0.0066276486291532,0.0114683801641781,716,0.2291249867132155,0.2046527640691906,GPT-4.1 Mini
model,GPT-5 Mini,correlation_gain,"C(discipline_value, Treatment(reference='ANY'))[T.multidisciplinary]",discipline_value,multidisciplinary,discipline=multidisciplinary,-0.0033400868900412,0.0073626367639484,0.6502201720527986,716,0.0859333896242913,0.0569154019933163,GPT-5 Mini
model,GPT-5 Nano,correlation_gain,"C(discipline_value, Treatment(reference='ANY'))[T.multidisciplinary]",discipline_value,multidisciplinary,discipline=multidisciplinary,-0.0051806738042748,0.0067498577434658,0.4430318033277167,716,0.1146977371190746,0.0865929033768229,GPT-5 Nano
model,GPT-5.1,correlation_gain,"C(discipline_value, Treatment(reference='ANY'))[T.multidisciplinary]",discipline_value,multidisciplinary,discipline=multidisciplinary,-0.0259816224297963,0.0096220908859568,0.0070988141177152,716,0.1140262708855456,0.0859001207549279,GPT-5.1
model,GPT-4.1,correlation_gain,"C(type_value, Treatment(reference='ANY'))[T.empirical]",type_value,empirical,type=empirical,-0.0080560306850257,0.0054647199525539,0.1408854413400299,715,0.2003834669783437,0.1749621321134934,GPT-4.1
model,GPT-4.1 Mini,correlation_gain,"C(type_value, Treatment(reference='ANY'))[T.empirical]",type_value,empirical,type=empirical,-0.0121794141314689,0.0049584809481898,0.0142826522212775,716,0.2291249867132155,0.2046527640691906,GPT-4.1 Mini
model,GPT-5 Mini,correlation_gain,"C(type_value, Treatment(reference='ANY'))[T.empirical]",type_value,empirical,type=empirical,-0.0091984864524368,0.0055083629451769,0.0953881767429018,716,0.0859333896242913,0.0569154019933163,GPT-5 Mini
model,GPT-5 Nano,correlation_gain,"C(type_value, Treatment(reference='ANY'))[T.empirical]",type_value,empirical,type=empirical,-0.0096124249621701,0.0050499118008076,0.0573914837369834,716,0.1146977371190746,0.0865929033768229,GPT-5 Nano
