model,variant_id,n_aug_runs,n_baseline_runs,correlation,correlation_mean_repeat,correlation_repeat_sd,correlation_repeat_se,baseline_correlation,baseline_correlation_mean_repeat,baseline_repeat_sd,baseline_repeat_se,delta_correlation,delta_correlation_mean_repeat,delta_correlation_repeat_sd,delta_correlation_repeat_se
Claude Sonnet 4.6,citation_q1_lowest,5,5,0.6816922426223755,0.6707902789115906,0.0485524369184409,0.02171330988458085,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,0.04236888885498047,0.043641874410004514,0.022167815883957283,0.009913748645845615
Claude Sonnet 4.6,citation_q1_lowest__discipline_bio_evo,5,5,0.6708556413650513,0.6631592273712158,0.028091548808595837,0.012562922545854704,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,0.03153228759765625,0.036010822869629755,0.057130768311308124,0.025549656310175164
Claude Sonnet 4.6,citation_q1_lowest__discipline_economics,5,5,0.6376169323921204,0.627238643169403,0.020197573820067483,0.009032629608448198,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,-0.0017064213752746582,9.023866781701084e-05,0.07782967774308656,0.034806490020088794
Claude Sonnet 4.6,citation_q1_lowest__discipline_math_phys_cs,5,5,0.636460542678833,0.6260702252388001,0.03247562393684158,0.014523540546899421,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,-0.0028628110885620117,-0.0010781792627860165,0.06737772235813093,0.030132233472377635
Claude Sonnet 4.6,citation_q1_lowest__discipline_multidisciplinary,5,5,0.6771478652954102,0.662070882320404,0.03169093067521303,0.014172615052001928,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,0.03782451152801514,0.034922477818817986,0.09030144986488407,0.040384036072934
Claude Sonnet 4.6,citation_q1_lowest__discipline_other,5,5,0.6564819812774658,0.6453668713569641,0.03351281439803881,0.014987386222269696,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,0.0171586275100708,0.018218466855378045,0.07581954052652345,0.033907529328021324
Claude Sonnet 4.6,citation_q1_lowest__discipline_psych_social,5,5,0.6769494414329529,0.6686274290084839,0.011343187479645534,0.005072827657202385,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,0.03762608766555786,0.04147902450689782,0.07199175925691505,0.03219569350365236
Claude Sonnet 4.6,citation_q1_lowest__jcr_q1,5,5,0.6991636157035828,0.6927980065345765,0.021428110163752113,0.009582942191100775,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,0.059840261936187744,0.06564960203299035,0.07284079505705963,0.0325753938565432
Claude Sonnet 4.6,citation_q1_lowest__jcr_q1__discipline_bio_evo,5,5,0.6563931703567505,0.6470508933067322,0.030447274549055693,0.013616435124257557,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,0.01706981658935547,0.019902488805146112,0.06936221735847906,0.03101972661673501
Claude Sonnet 4.6,citation_q1_lowest__jcr_q1__discipline_economics,5,5,0.6553828120231628,0.644329035282135,0.020151630762775697,0.009012083248608478,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,0.016059458255767822,0.017180630780548944,0.058780470881735755,0.026287425728201627
