model,source_id,correlation,baseline_correlation
Claude Sonnet 4.6,10.1111_j.1740-1461.2010.01197.x,0.4038335084915161,0.639323353767395
Claude Sonnet 4.6,10.1007_s00199-007-0212-0,0.5157391428947449,0.639323353767395
Claude Sonnet 4.6,10.1016_j.jebo.2011.01.017,0.5170004367828369,0.639323353767395
Claude Sonnet 4.6,10.1016_j.euroecorev.2012.05.003,0.5474497675895691,0.639323353767395
Claude Sonnet 4.6,10.1007_s00355-015-0884-5,0.5511438846588135,0.639323353767395
Claude Sonnet 4.6,10.1371_journal.pone.0045093,0.5512387156486511,0.639323353767395
Claude Sonnet 4.6,10.1016_j.jtbi.2008.06.017,0.5604187250137329,0.639323353767395
Claude Sonnet 4.6,10.1177_147470491301100204,0.5693436861038208,0.639323353767395
Claude Sonnet 4.6,10.18564_jasss.2647,0.5760228633880615,0.639323353767395
Claude Sonnet 4.6,10.1007_s11238-023-09931-1,0.5769513249397278,0.639323353767395
Claude Sonnet 4.6,10.1177_0037549711406912,0.5794097185134888,0.639323353767395
Claude Sonnet 4.6,10.1016_j.jpubeco.2015.03.007,0.5813918709754944,0.639323353767395
Claude Sonnet 4.6,10.1007_s12110-002-1012-7,0.5823804140090942,0.639323353767395
Claude Sonnet 4.6,10.1016_j.jtbi.2012.09.012,0.5857768058776855,0.639323353767395
Claude Sonnet 4.6,10.1146_annurev.soc.33.040406.131812,0.5860093832015991,0.639323353767395
Claude Sonnet 4.6,10.1209_0295-5075_ac1364,0.5878649950027466,0.639323353767395
Claude Sonnet 4.6,10.1016_j.jpubeco.2017.03.002,0.588618278503418,0.639323353767395
Claude Sonnet 4.6,10.1016_j.jpubeco.2006.10.007,0.5909842252731323,0.639323353767395
Claude Sonnet 4.6,10.1332_204378920x16026943989422,0.5923296809196472,0.639323353767395
Claude Sonnet 4.6,10.1016_j.jpubeco.2014.10.008,0.5924069285392761,0.639323353767395
Claude Sonnet 4.6,10.1177_0956797613510184,0.5933464765548706,0.639323353767395
Claude Sonnet 4.6,10.1162_jeea.2005.3.2-3.303,0.594087541103363,0.639323353767395
Claude Sonnet 4.6,10.1007_s10640-017-0126-7,0.5961618423461914,0.639323353767395
Claude Sonnet 4.6,10.1002_bdm.2208,0.5964497327804565,0.639323353767395
Claude Sonnet 4.6,10.1016_j.chaos.2023.113318,0.5966117978096008,0.639323353767395
Claude Sonnet 4.6,10.1108_tpm-03-2020-0021,0.5979966521263123,0.639323353767395
Claude Sonnet 4.6,10.1007_s10683-007-9171-3,0.5989766716957092,0.639323353767395
Claude Sonnet 4.6,10.1017_s0033291717003075,0.599732518196106,0.639323353767395
Claude Sonnet 4.6,10.1016_j.jebo.2009.01.006,0.6000779867172241,0.639323353767395
Claude Sonnet 4.6,10.1007_s10058-012-0120-z,0.6008175611495972,0.639323353767395
Claude Sonnet 4.6,10.1038_s41598-018-38323-7,0.601191520690918,0.639323353767395
Claude Sonnet 4.6,10.1016_j.evolhumbehav.2007.08.002,0.6013523936271667,0.639323353767395
Claude Sonnet 4.6,10.1111_1477-9552.12114,0.6032664775848389,0.639323353767395
Claude Sonnet 4.6,10.1016_j.socec.2018.09.006,0.6037120223045349,0.639323353767395
Claude Sonnet 4.6,10.1007_978-0-387-72596-3_7,0.6039502620697021,0.639323353767395
Claude Sonnet 4.6,10.1016_j.econlet.2020.109155,0.6039649844169617,0.639323353767395
Claude Sonnet 4.6,10.1016_j.amc.2024.128836,0.604619562625885,0.639323353767395
Claude Sonnet 4.6,10.1038_nature04131,0.6056363582611084,0.639323353767395
Claude Sonnet 4.6,10.1016_j.pursup.2017.11.006,0.6064837574958801,0.639323353767395
Claude Sonnet 4.6,10.4284_0038-4038-2012.067,0.6071578860282898,0.639323353767395
Claude Sonnet 4.6,10.1038_s41598-023-41886-9,0.6073887348175049,0.639323353767395
Claude Sonnet 4.6,10.1111_jpet.12540,0.6076897382736206,0.639323353767395
Claude Sonnet 4.6,10.1006_jtbi.2000.2111,0.6077782511711121,0.639323353767395
Claude Sonnet 4.6,10.1177_0022002711420971,0.6078604459762573,0.639323353767395
Claude Sonnet 4.6,10.1002_pchj.259,0.6079685091972351,0.639323353767395
Claude Sonnet 4.6,10.1016_j.jebo.2014.11.009,0.6080650091171265,0.639323353767395
Claude Sonnet 4.6,10.1006_obhd.1995.1015,0.6080881953239441,0.639323353767395
Claude Sonnet 4.6,10.1016_j.jebo.2009.03.011,0.6081523895263672,0.639323353767395
Claude Sonnet 4.6,10.1002_hbm.21298,0.6081658601760864,0.639323353767395
Claude Sonnet 4.6,10.1016_j.tics.2004.02.007,0.608256459236145,0.639323353767395
Claude Sonnet 4.6,10.1038_s41598-017-12742-4,0.6084494590759277,0.639323353767395
Claude Sonnet 4.6,10.1016_j.geb.2007.05.001,0.6087506413459778,0.639323353767395
Claude Sonnet 4.6,10.1016_j.socec.2018.03.007,0.608893632888794,0.639323353767395
Claude Sonnet 4.6,10.1111_joes.12018,0.6091117858886719,0.639323353767395
Claude Sonnet 4.6,10.1016_j.amc.2022.127578,0.6092481017112732,0.639323353767395
Claude Sonnet 4.6,10.1016_j.amc.2023.127853,0.6095702648162842,0.639323353767395
Claude Sonnet 4.6,10.1037_npe0000045,0.6100165843963623,0.639323353767395
Claude Sonnet 4.6,10.1016_j.jpubeco.2012.08.003,0.6100348234176636,0.639323353767395
Claude Sonnet 4.6,10.1016_j.chaos.2016.10.003,0.6100442409515381,0.639323353767395
Claude Sonnet 4.6,10.1016_j.geb.2009.07.007,0.6100930571556091,0.639323353767395
Claude Sonnet 4.6,10.1016_j.geb.2021.08.003,0.6103445291519165,0.639323353767395
Claude Sonnet 4.6,10.1038_s41598-017-02952-1,0.6109912991523743,0.639323353767395
Claude Sonnet 4.6,10.1016_j.amc.2025.129545,0.611033022403717,0.639323353767395
Claude Sonnet 4.6,10.1098_rsif.2012.0997,0.611129105091095,0.639323353767395
Claude Sonnet 4.6,10.1088_0253-6102_56_4_07,0.611404538154602,0.639323353767395
Claude Sonnet 4.6,10.1016_j.joep.2009.04.004,0.6119193434715271,0.639323353767395
Claude Sonnet 4.6,10.1007_s10663-024-09623-1,0.6121626496315002,0.639323353767395
Claude Sonnet 4.6,10.1016_j.amc.2021.126586,0.6124273538589478,0.639323353767395
Claude Sonnet 4.6,10.1111_caje.12201,0.6126669049263,0.639323353767395
Claude Sonnet 4.6,10.1007_s10683-013-9360-1,0.6127327680587769,0.639323353767395
Claude Sonnet 4.6,10.1016_j.joep.2013.01.001,0.6129512786865234,0.639323353767395
Claude Sonnet 4.6,10.1371_journal.pone.0166101,0.6130171418190002,0.639323353767395
Claude Sonnet 4.6,10.1063_5.0256342,0.6130664944648743,0.639323353767395
Claude Sonnet 4.6,10.1098_rspb.2011.0252,0.613235354423523,0.639323353767395
Claude Sonnet 4.6,10.1371_journal.pcbi.1000758,0.6134631037712097,0.639323353767395
Claude Sonnet 4.6,10.1073_pnas.1604989113,0.613749623298645,0.639323353767395
Claude Sonnet 4.6,10.1007_s13235-022-00485-5,0.6141413450241089,0.639323353767395
Claude Sonnet 4.6,10.1007_s00267-023-01825-w,0.614142119884491,0.639323353767395
Claude Sonnet 4.6,10.1016_j.econlet.2007.09.048,0.61427903175354,0.639323353767395
Claude Sonnet 4.6,10.1111_jels.12231,0.6143013834953308,0.639323353767395
Claude Sonnet 4.6,10.1063_1.3621719,0.6143363118171692,0.639323353767395
Claude Sonnet 4.6,10.1177_0022002703258795,0.6143470406532288,0.639323353767395
Claude Sonnet 4.6,10.1016_j.chieco.2022.101826,0.6144301891326904,0.639323353767395
Claude Sonnet 4.6,10.1038_nature02043,0.6145113706588745,0.639323353767395
Claude Sonnet 4.6,10.1037_1089-2680.11.2.142,0.6145533323287964,0.639323353767395
Claude Sonnet 4.6,10.3389_fnhum.2022.967090,0.6147467494010925,0.639323353767395
Claude Sonnet 4.6,10.1177_0022002714560349,0.6149243712425232,0.639323353767395
Claude Sonnet 4.6,10.1146_annurev-psych-020821-110044,0.6149371862411499,0.639323353767395
Claude Sonnet 4.6,10.1111_j.1468-0297.2005.01031.x,0.6150397658348083,0.639323353767395
Claude Sonnet 4.6,10.1007_s00265-004-0885-3,0.6150863766670227,0.639323353767395
