panel,model,feature_key,feature_label,coef,ci_low,ci_high,n
Individual papers,Claude Sonnet 4.6,journal_impact,Journal Impact Factor,0.0011323224620842195,-0.0003165262315040396,0.0026229285323174072,2011
Individual papers,Claude Sonnet 4.6,citation,Citation,-0.0035457158099081432,-0.005356834836639969,-0.0018279880299483656,2011
Individual papers,Claude Sonnet 4.6,empirical_share,Empirical papers,-0.0024253868189155255,-0.003930214948464457,-0.0010453102495557075,2011
Individual papers,Claude Sonnet 4.6,recent,Publication Year,-0.002719595458172674,-0.004445142904789448,-0.0013066459898002291,2011
Individual papers,Claude Sonnet 4.6,biology_share,Biology Journals,0.001141395442176866,1.0988855387003546e-05,0.0022238823492203995,2011
Individual papers,Claude Sonnet 4.6,economics_share,Economics Journals,0.0005334325267392948,-0.001030980577113445,0.002225232538634589,2011
Individual papers,Claude Sonnet 4.6,psychology_share,Psychology Journals,0.0006761399233084897,-0.0006800772787328153,0.0020104737172979953,2011
Individual papers,Claude Sonnet 4.6,mathphysics_share,Math/Physics Journals,-0.0011400539032950568,-0.002663584710594028,0.00030274438983052775,2011
Individual papers,Claude Sonnet 4.6,multidisciplinary_share,Multidisciplinary Journals,0.00035630275815674156,-0.0011259024933462987,0.0017361364797575877,2011
Individual papers,GPT-5.1,journal_impact,Journal Impact Factor,0.005562803263042897,0.0017164160142701637,0.009175763434652448,2009
Individual papers,GPT-5.1,citation,Citation,-0.007985832749935267,-0.011911143630275975,-0.003419772503757355,2009
Individual papers,GPT-5.1,empirical_share,Empirical papers,-0.01000967723537974,-0.013830312597320657,-0.006229114929349978,2009
Individual papers,GPT-5.1,recent,Publication Year,-0.005090278727092634,-0.008710410546483334,-0.0009305118466546981,2009
Individual papers,GPT-5.1,biology_share,Biology Journals,0.001910209445732462,-0.001210560559127305,0.004899283535913124,2009
Individual papers,GPT-5.1,economics_share,Economics Journals,0.0018240924918800675,-0.0020760673204430723,0.005947590732718384,2009
Individual papers,GPT-5.1,psychology_share,Psychology Journals,-0.0017490703382596036,-0.005297888985829963,0.001821700016283317,2009
Individual papers,GPT-5.1,mathphysics_share,Math/Physics Journals,-0.004331612758298642,-0.007504241206101964,-0.0007652264497980281,2009
Individual papers,GPT-5.1,multidisciplinary_share,Multidisciplinary Journals,-0.002582342687066478,-0.006379527155602766,0.0011020559044584645,2009
Individual papers,GPT-4.1,journal_impact,Journal Impact Factor,0.0008198622266553827,-0.0019367223770600332,0.0037593978965474385,2010
