item_type,model,feature_key,feature_label,coef_value,ci_low_value,ci_high_value,n,coef_rank,ci_low_rank,ci_high_rank,sign_value,sign_rank,sign_flip
Individual papers,GPT-4.1,journal_impact,Journal Impact Factor,0.000558045479858,-0.00099474875936,0.0031174489072409,2010,0.0007502682653613712,-0.010654099437510832,0.014546617275563027,1,1,False
Individual papers,GPT-4.1,citation,Citation,0.0001375213284215,-0.001691007479303,0.0018494166727378,2010,0.0074648531771323474,-0.005229776922665949,0.02125191681613869,1,1,False
Individual papers,GPT-4.1,empirical_share,Empirical papers,-0.0028516310789129,-0.0057564581915234,-0.0015458388866651,2010,-0.026628951875472085,-0.04339926475893083,-0.014396321135756403,-1,-1,False
Individual papers,GPT-4.1,recent,Publication Year,0.0002264892312914,-0.0016736863160454,0.002595862778802,2010,-0.001838557633970178,-0.014219684597989151,0.011930535032684104,1,-1,True
Individual papers,GPT-4.1,biology_share,Biology Journals,5.7238388864826885e-05,-0.0022881152242693,0.0015315849015138,2010,-0.005111745922012305,-0.02026432854582873,0.007222237548139748,1,-1,True
Individual papers,GPT-4.1,economics_share,Economics Journals,-0.0021422331285932,-0.0049145247382578,-0.0006313927148359,2010,-0.022779325505157665,-0.041136966230888646,-0.009505615943491162,-1,-1,False
Individual papers,GPT-4.1,psychology_share,Psychology Journals,-0.0008667773614126,-0.0029536039805986,0.0005056050153812,2010,-0.01278182149984955,-0.026671936624329828,-0.0024212144310971047,-1,-1,False
Individual papers,GPT-4.1,mathphysics_share,Math/Physics Journals,0.0008509975399202,-0.0018067279191405,0.0020917413289274,2010,0.007202284432252871,-0.010224127925170284,0.019026510460118603,1,1,False
Individual papers,GPT-4.1,multidisciplinary_share,Multidisciplinary Journals,-0.0009491456082408,-0.0037367920914182,0.0001464483653416,2010,-0.01576633915252567,-0.03335860228101571,-0.002242154535107994,-1,-1,False
Individual papers,GPT-4.1 Mini,journal_impact,Journal Impact Factor,0.0021095004308304,-0.0006656291069083,0.0048087421598707,2011,0.009748549337792914,-0.0042781943974104595,0.025189226855327394,1,1,False
Individual papers,GPT-4.1 Mini,citation,Citation,-0.0052363068697371,-0.0087149643216608,-0.0024901244824961,2011,-0.02419883152841184,-0.039880608283853564,-0.009359029919195556,-1,-1,False
Individual papers,GPT-4.1 Mini,empirical_share,Empirical papers,-0.0109375252016889,-0.0136681110416734,-0.0084101463390476,2011,-0.07206749232298947,-0.08970306347604558,-0.05880592967935089,-1,-1,False
Individual papers,GPT-4.1 Mini,recent,Publication Year,-0.003700786229902,-0.0061605159514522,-0.0016586346027744,2011,-0.023396402334744354,-0.038592150683801243,-0.009858597928283237,-1,-1,False
