dataset,scope,scope_name,target,target_label,model_name_orig,n_rows_orig,n_groups_orig,cv_r2_orig,cv_spearman_orig,mean_fold_r2_orig,mean_fold_spearman_orig,sd_fold_r2_orig,sd_fold_spearman_orig,model_name_with_pearson,n_rows_with_pearson,n_groups_with_pearson,cv_r2_with_pearson,cv_spearman_with_pearson,cv_pearson,mean_fold_r2_with_pearson,mean_fold_spearman_with_pearson,mean_fold_pearson,sd_fold_r2_with_pearson,sd_fold_spearman_with_pearson,sd_fold_pearson,delta_cv_spearman,delta_mean_fold_spearman
individual_papers,within_model,Claude Sonnet 4.6,correlation,Correlation,ridge,2011,2011,0.0162745865520345,0.1386072644130617,0.0157515070419968,0.1425898851358355,0.0123872411256432,0.0449457482220316,ridge,2011,2011,0.01627458655203451,0.13860726441306173,0.1287459200368088,0.015751507041996883,0.14258988513583556,0.1360306319903184,0.012387241125643263,0.0449457482220316,0.04575716009190189,2.7755575615628914e-17,5.551115123125783e-17
individual_papers,within_model,GPT-4.1,correlation,Correlation,ridge,2010,2010,0.0227284151223261,0.1827442504652921,0.0204590309122463,0.193209904911707,0.0210908416022491,0.0621700716510084,ridge,2010,2010,0.02272841512232604,0.18274425046529216,0.15194136586071294,0.020459030912246278,0.19320990491170703,0.17022451148180046,0.021090841602249204,0.0621700716510084,0.060921907738419524,5.551115123125783e-17,2.7755575615628914e-17
individual_papers,within_model,GPT-4.1 Mini,correlation,Correlation,ridge,2011,2011,0.1555596556530787,0.4314250454598501,0.1567039078066412,0.4322952113505336,0.042680798804417,0.033075411353689,ridge,2011,2011,0.1555596556530785,0.4314250454598501,0.3944425586552844,0.15670390780664128,0.43229521135053367,0.39911179720967227,0.042680798804417074,0.03307541135368908,0.055404474110733626,0.0,5.551115123125783e-17
individual_papers,within_model,GPT-5 Mini,correlation,Correlation,ridge,2008,2008,0.0617085716156167,0.3197987049586547,0.0605164497850801,0.322362338244969,0.0110496399464408,0.0268651622846653,ridge,2008,2008,0.061708571615616936,0.3197987049586547,0.2486186345711796,0.060516449785080174,0.32236233824496907,0.2507507930448455,0.01104963994644102,0.026865162284665345,0.024444131952396617,0.0,5.551115123125783e-17
individual_papers,within_model,GPT-5 Nano,correlation,Correlation,ridge,2005,2005,0.0242703052058603,0.1819764903468011,0.0188386067924925,0.1928298558989341,0.015650206792223,0.04949905495353,ridge,2005,2005,0.024270305205860376,0.18197649034680116,0.15666281334844304,0.018838606792492607,0.19282985589893414,0.16633869281028374,0.01565020679222309,0.04949905495353,0.02891006608667058,5.551115123125783e-17,5.551115123125783e-17
individual_papers,within_model,GPT-5.1,correlation,Correlation,ridge,2009,2009,0.0417396687832576,0.2137070580860035,0.0397969440768557,0.2184078019461566,0.0113207099284599,0.0360805744722372,ridge,2009,2009,0.04173966878325752,0.21370705808600354,0.20443232083756918,0.039796944076855766,0.21840780194615667,0.2082685798662892,0.011320709928460033,0.036080574472237226,0.03128400626965989,5.551115123125783e-17,5.551115123125783e-17
metadata_filter_collections,within_model,Claude Sonnet 4.6,correlation,Correlation,random_forest,715,715,0.0856715439866427,0.2683844439194099,0.0830802119864619,0.2700228175580288,0.0524675684111699,0.0973578065181022,random_forest,715,715,0.08567154398664278,0.2683844439194099,0.2972374422361267,0.08308021198646202,0.2700228175580288,0.3007429587394612,0.05246756841116949,0.09735780651810227,0.07528465203379549,0.0,0.0
metadata_filter_collections,within_model,GPT-4.1,correlation,Correlation,extra_trees,715,715,0.2160073982471381,0.4724884914008805,0.2098685160227296,0.4699917204289493,0.0545700622028384,0.0353432778229667,extra_trees,715,715,0.216007398247138,0.47248849140088056,0.48258375007943843,0.2098685160227296,0.4699917204289493,0.4839585387974507,0.05457006220283841,0.0353432778229667,0.030230119970666547,5.551115123125783e-17,0.0
metadata_filter_collections,within_model,GPT-4.1 Mini,correlation,Correlation,gradient_boosting,716,716,0.2044621849494139,0.4138048015890984,0.199725208927822,0.4139117139942783,0.0923131609475864,0.0905499534375909,gradient_boosting,716,716,0.20438063443612353,0.41359328360099723,0.4586216428933554,0.19964635702077632,0.41352512874853814,0.4586516437212128,0.0922431515340295,0.09039837877413952,0.08731067915425599,-0.00021151798810115086,-0.0003865852457401453
metadata_filter_collections,within_model,GPT-5 Mini,correlation,Correlation,extra_trees,715,715,0.1638356849370356,0.2292311299131008,0.1621974744302642,0.231475312856635,0.0892315177125799,0.0807815983599467,extra_trees,715,715,0.1638356849370355,0.22923112991310085,0.4382438757514242,0.16219747443026436,0.231475312856635,0.4437215080647863,0.08923151771257991,0.08078159835994672,0.06691369385536572,5.551115123125783e-17,0.0
metadata_filter_collections,within_model,GPT-5 Nano,correlation,Correlation,gradient_boosting,712,712,0.1288599369974478,0.2793511958525292,0.0959704240607022,0.2778246835933082,0.1731142339851054,0.0667051646724896,gradient_boosting,712,712,0.1296920124737675,0.2790213934303615,0.37319204984201587,0.0965962762861963,0.2774135625739524,0.3757954784298613,0.17334517048026465,0.06640608227538954,0.12575144934573798,-0.00032980242216773537,-0.000411121019355809
metadata_filter_collections,within_model,GPT-5.1,correlation,Correlation,gradient_boosting,716,716,0.1280176558205863,0.3088859949101645,0.1196732323882817,0.3051744515804738,0.0535168531534232,0.0382397731241422,gradient_boosting,716,716,0.12794926544645624,0.3089854770180148,0.36869579864156465,0.11960024379296515,0.30497554089103385,0.3699203565808896,0.05345984916597777,0.03855039552703295,0.04697894259468963,9.948210785032385e-05,-0.00019891068943994616
