panel,model,feature_key,feature_label,coef,ci_low,ci_high,n
Individual papers,Claude Sonnet 4.6,journal_impact,Journal Impact Factor,0.0011422769649104452,-0.0012682785697892614,0.004052387672156035,947
Individual papers,Claude Sonnet 4.6,citation,Citation,-0.004536262052206522,-0.00735513508205203,-0.0017209227262256536,947
Individual papers,Claude Sonnet 4.6,recent,Publication Year,-0.0032263169290473797,-0.005361969747630574,-0.0008955713034364169,947
Individual papers,Claude Sonnet 4.6,biology_share,Biology Journals,0.000858836626612311,-0.0008623751886292851,0.002480731283780523,947
Individual papers,Claude Sonnet 4.6,economics_share,Economics Journals,-0.000634805182126533,-0.003257308242639032,0.002161695816445083,947
Individual papers,Claude Sonnet 4.6,psychology_share,Psychology Journals,0.0005007121230067463,-0.0020135511197924287,0.0026254267303496997,947
Individual papers,Claude Sonnet 4.6,mathphysics_share,Math/Physics Journals,-0.0006709861557802375,-0.002540149399220167,0.0010293868687350908,947
Individual papers,Claude Sonnet 4.6,multidisciplinary_share,Multidisciplinary Journals,-0.00015666462455131953,-0.002486062835525361,0.002461029729861859,947
Individual papers,GPT-5.1,journal_impact,Journal Impact Factor,0.0064369811564555755,0.0010996363462569922,0.012899194598165183,947
Individual papers,GPT-5.1,citation,Citation,-0.010946073256226735,-0.017715947254300413,-0.0037576612820574787,947
Individual papers,GPT-5.1,recent,Publication Year,-0.006995179105059201,-0.013056019717148412,-0.0004665335971451008,947
Individual papers,GPT-5.1,biology_share,Biology Journals,0.004252218667018248,-0.0002369955487440478,0.0084664929119867,947
Individual papers,GPT-5.1,economics_share,Economics Journals,-0.0001370351729285882,-0.0061969643868893115,0.006188933673804792,947
Individual papers,GPT-5.1,psychology_share,Psychology Journals,-0.003176444210982431,-0.008527117006411403,0.002506356051037662,947
Individual papers,GPT-5.1,mathphysics_share,Math/Physics Journals,-0.00021363859820464849,-0.004825688792635625,0.0038796092292177047,947
Individual papers,GPT-5.1,multidisciplinary_share,Multidisciplinary Journals,-0.002927079231778116,-0.009214638523750074,0.0028829486220711496,947
Individual papers,GPT-4.1,journal_impact,Journal Impact Factor,0.0010469268681489402,-0.0028428162209677126,0.004917862890884449,946
Individual papers,GPT-4.1,citation,Citation,-0.00020134147265075313,-0.004849712547431811,0.00487312553181376,946
Individual papers,GPT-4.1,recent,Publication Year,-0.0006476920205591131,-0.0043796013216575004,0.0038800352069222094,946
Individual papers,GPT-4.1,biology_share,Biology Journals,0.005380510831033645,0.0028408550250959663,0.007961200457961042,946
Individual papers,GPT-4.1,economics_share,Economics Journals,-0.000736706632568361,-0.0043498036046183694,0.003487945415135417,946
Individual papers,GPT-4.1,psychology_share,Psychology Journals,8.682190445666935e-05,-0.003385371126193443,0.003553670366522536,946
Individual papers,GPT-4.1,mathphysics_share,Math/Physics Journals,-0.000837173858582698,-0.0032845415490882677,0.002088422474326157,946
Individual papers,GPT-4.1,multidisciplinary_share,Multidisciplinary Journals,-0.0001477924838634006,-0.003760600676727745,0.003155745697759948,946
Individual papers,Gemini 2.5 Pro,journal_impact,Journal Impact Factor,0.0011872943272376367,-0.007666256613869501,0.011201874066013485,947
Individual papers,Gemini 2.5 Pro,citation,Citation,-0.016957022107939975,-0.027461129950966768,-0.005957536452243561,947
Individual papers,Gemini 2.5 Pro,recent,Publication Year,-0.0067625328723932635,-0.015531969436424197,0.0016888216328102578,947
Individual papers,Gemini 2.5 Pro,biology_share,Biology Journals,0.008649894709345402,0.0009719025579698907,0.01569409470040553,947
Individual papers,Gemini 2.5 Pro,economics_share,Economics Journals,-0.001288147553259165,-0.010682829667543714,0.007249531739416949,947
Individual papers,Gemini 2.5 Pro,psychology_share,Psychology Journals,0.003893982034025173,-0.004535156932159108,0.012060655599103893,947
Individual papers,Gemini 2.5 Pro,mathphysics_share,Math/Physics Journals,-0.0009181464542700308,-0.008139444319904333,0.006337936066850353,947
Individual papers,Gemini 2.5 Pro,multidisciplinary_share,Multidisciplinary Journals,0.0055158498561680746,-0.003863461084568597,0.013199079750554923,947
Collections,Claude Sonnet 4.6,journal_impact,Journal Impact Factor,-0.013883523858307835,-0.0316513913074168,0.0016377422751777308,133
Collections,Claude Sonnet 4.6,citation,Citation,-0.007279281788485668,-0.024028369060743748,0.0070372516364857265,133
Collections,Claude Sonnet 4.6,recent,Publication Year,-0.00567075391332044,-0.021508105613707952,0.007711628661971341,133
Collections,Claude Sonnet 4.6,biology_share,Biology Journals,0.01152587315784473,0.0027564039879719184,0.019811062530992865,133
Collections,Claude Sonnet 4.6,economics_share,Economics Journals,-0.015613319570044299,-0.026962478549514748,-0.006110600365721647,133
Collections,Claude Sonnet 4.6,psychology_share,Psychology Journals,-0.006129188052012685,-0.015067033483208491,0.0026939120512673663,133
Collections,Claude Sonnet 4.6,mathphysics_share,Math/Physics Journals,-0.009504675623872477,-0.020034595931136642,0.0007662986354661788,133
Collections,Claude Sonnet 4.6,multidisciplinary_share,Multidisciplinary Journals,-0.0042972552631102496,-0.011094652744795465,0.005435284373252724,133
Collections,Claude Sonnet 4.6,collection_size,Number of Papers,0.021234845903444533,0.011969178832316631,0.03210184900842781,133
Collections,GPT-5.1,journal_impact,Journal Impact Factor,-0.024386482635699144,-0.0584848282389783,0.00923700612126011,133
Collections,GPT-5.1,citation,Citation,-0.0031815811025184895,-0.0319322160767499,0.03243187737580496,133
Collections,GPT-5.1,recent,Publication Year,0.003968277458507111,-0.019902199237350905,0.030523573328654987,133
Collections,GPT-5.1,biology_share,Biology Journals,0.01217342621460172,-0.005198344506353588,0.029696015807190262,133
Collections,GPT-5.1,economics_share,Economics Journals,-0.021618811605922626,-0.04268260271947313,0.0005515428024485502,133
Collections,GPT-5.1,psychology_share,Psychology Journals,-0.003850244619153851,-0.022772445823251317,0.01603604790845969,133
Collections,GPT-5.1,mathphysics_share,Math/Physics Journals,-0.014451806118067335,-0.03255775437095964,0.0028473705726118357,133
Collections,GPT-5.1,multidisciplinary_share,Multidisciplinary Journals,-0.01100471270627733,-0.032841107660157916,0.010662186447455018,133
Collections,GPT-5.1,collection_size,Number of Papers,0.032457228610499655,0.011383212963387198,0.05284317362640592,133
Collections,GPT-4.1,journal_impact,Journal Impact Factor,-0.020006797406340673,-0.04760475816455426,0.0041727769789620985,133
Collections,GPT-4.1,citation,Citation,0.011556138625257523,-0.008240866300724424,0.03529034203452642,133
Collections,GPT-4.1,recent,Publication Year,0.009228805070206786,-0.009756988212092471,0.03125789714873427,133
Collections,GPT-4.1,biology_share,Biology Journals,0.019994960596320135,0.005192915015178615,0.037150329050716524,133
Collections,GPT-4.1,economics_share,Economics Journals,-0.007873973522990766,-0.02409466745136649,0.008359524683730604,133
Collections,GPT-4.1,psychology_share,Psychology Journals,-0.00048717686140015696,-0.012049936178767987,0.013234023894755968,133
Collections,GPT-4.1,mathphysics_share,Math/Physics Journals,-0.0025824391243955856,-0.018615582334080373,0.010123400934374987,133
Collections,GPT-4.1,multidisciplinary_share,Multidisciplinary Journals,0.004357397962825531,-0.006684145244176215,0.016262191702930928,133
Collections,GPT-4.1,collection_size,Number of Papers,0.038218990495389585,0.02251059747151924,0.05454845369004746,133
Collections,Gemini 2.5 Pro,journal_impact,Journal Impact Factor,-0.016093141882348425,-0.06185838306440184,0.026798347082661555,133
Collections,Gemini 2.5 Pro,citation,Citation,-0.015741038302198154,-0.05882553773556419,0.030897162852264674,133
Collections,Gemini 2.5 Pro,recent,Publication Year,0.01378372758305951,-0.02869051797781051,0.064728825600245,133
Collections,Gemini 2.5 Pro,biology_share,Biology Journals,0.03388016456815625,0.01448926400877963,0.053460488311673195,133
Collections,Gemini 2.5 Pro,economics_share,Economics Journals,-0.010409488172929852,-0.037085148617936686,0.015861134169693984,133
Collections,Gemini 2.5 Pro,psychology_share,Psychology Journals,-0.00849381514348949,-0.03240725661021611,0.01526063673380976,133
Collections,Gemini 2.5 Pro,mathphysics_share,Math/Physics Journals,-0.000687640641220963,-0.024614270307922875,0.022461285554631803,133
Collections,Gemini 2.5 Pro,multidisciplinary_share,Multidisciplinary Journals,0.012093076417028248,-0.006206555821313278,0.03295313543038941,133
Collections,Gemini 2.5 Pro,collection_size,Number of Papers,0.03206390043597455,0.008251084733663842,0.059315953322270305,133
