model_a,model_b,corr_a,corr_b,delta_a_minus_b,delta_ci95_low,delta_ci95_high,p_bootstrap_two_sided,significant_95
Claude Sonnet 4.6,GPT-5.1,0.6644858192216249,0.6526169304695439,0.01186888875208092,-0.08519003182970082,0.12982085909192861,0.82532,False
Claude Sonnet 4.6,GPT-4.1 Mini,0.6644858192216249,0.6154436723939997,0.0490421468276252,-0.05577917746353403,0.20253678913400097,0.486,False
Claude Sonnet 4.6,GPT-4.1,0.6644858192216249,0.6145930323334073,0.04989278688821752,-0.07115020110453424,0.22195822671083393,0.65652,False
Claude Sonnet 4.6,GPT-5 Nano,0.6644858192216249,0.5984576014590568,0.06602821776256806,-0.07111654429333635,0.2585160347752219,0.45732,False
Claude Sonnet 4.6,GPT-5 Mini,0.6644858192216249,0.5616469732000592,0.10283884602156568,-0.022791918288407598,0.2668319812872174,0.13312,False
Claude Sonnet 4.6,GPT-4.1 Nano,0.6644858192216249,0.5212166586200164,0.14326916060160844,-0.0653741091732687,0.4002272361468358,0.21996,False
Claude Sonnet 4.6,Gemini 2.5 Pro,0.6644858192216249,0.39938199972137367,0.2651038195002512,0.05825062358677895,0.5130920342840491,0.00956,True
GPT-5.1,GPT-4.1 Mini,0.6526169304695439,0.6154436723939997,0.03717325807554428,-0.10155253521807522,0.1850276582425196,0.58132,False
GPT-5.1,GPT-4.1,0.6526169304695439,0.6145930323334073,0.0380238981361366,-0.1286191506165392,0.2070222000258985,0.67332,False
GPT-5.1,GPT-5 Nano,0.6526169304695439,0.5984576014590568,0.054159329010487145,-0.142908486730652,0.26216407240085504,0.574,False
GPT-5.1,GPT-5 Mini,0.6526169304695439,0.5616469732000592,0.09096995726948476,-0.035471183065729814,0.23632271578265687,0.16516,False
GPT-5.1,GPT-4.1 Nano,0.6526169304695439,0.5212166586200164,0.13140027184952752,-0.10751926266203139,0.3947221310221727,0.295,False
GPT-5.1,Gemini 2.5 Pro,0.6526169304695439,0.39938199972137367,0.2532349307481703,0.045005595667859694,0.5010562764920963,0.0162,True
GPT-4.1 Mini,GPT-4.1,0.6154436723939997,0.6145930323334073,0.0008506400605923226,-0.07774701738142165,0.07083140631016688,0.96356,False
GPT-4.1 Mini,GPT-5 Nano,0.6154436723939997,0.5984576014590568,0.016986070934942865,-0.07442404858667338,0.10792629350067891,0.68296,False
GPT-4.1 Mini,GPT-5 Mini,0.6154436723939997,0.5616469732000592,0.05379669919394048,-0.08435997355911641,0.2056629028192321,0.47868,False
GPT-4.1 Mini,GPT-4.1 Nano,0.6154436723939997,0.5212166586200164,0.09422701377398324,-0.059069497712384726,0.24247125991524843,0.21612,False
GPT-4.1 Mini,Gemini 2.5 Pro,0.6154436723939997,0.39938199972137367,0.216061672672626,-0.07265514722492884,0.5049624019917688,0.13808,False
GPT-4.1,GPT-5 Nano,0.6145930323334073,0.5984576014590568,0.016135430874350543,-0.033121084825027756,0.07856308846220567,0.48752,False
GPT-4.1,GPT-5 Mini,0.6145930323334073,0.5616469732000592,0.052946059133348156,-0.1023855753425876,0.23839618265791815,0.54144,False
GPT-4.1,GPT-4.1 Nano,0.6145930323334073,0.5212166586200164,0.09337637371339091,-0.026672355475943477,0.22467723922971908,0.12804,False
GPT-4.1,Gemini 2.5 Pro,0.6145930323334073,0.39938199972137367,0.21521103261203367,-0.08700898786302183,0.5230648781638871,0.15916,False
GPT-5 Nano,GPT-5 Mini,0.5984576014590568,0.5616469732000592,0.03681062825899761,-0.14166889488292175,0.23610058890816332,0.73468,False
GPT-5 Nano,GPT-4.1 Nano,0.5984576014590568,0.5212166586200164,0.07724094283904037,-0.03435630550571623,0.17826013836117308,0.159,False
GPT-5 Nano,Gemini 2.5 Pro,0.5984576014590568,0.39938199972137367,0.19907560173768313,-0.1196349001947116,0.5086825520158047,0.2188,False
GPT-5 Mini,GPT-4.1 Nano,0.5616469732000592,0.5212166586200164,0.04043031458004276,-0.2073692440124432,0.27998892398176867,0.75892,False
GPT-5 Mini,Gemini 2.5 Pro,0.5616469732000592,0.39938199972137367,0.16226497347868551,-0.043563538086158704,0.3687760886904372,0.11484,False
GPT-4.1 Nano,Gemini 2.5 Pro,0.5212166586200164,0.39938199972137367,0.12183465889864276,-0.23822977528843506,0.46397794887613814,0.48212,False
