item_id,claude_sonnet_46_corr,gpt41_corr,gemini25pro_corr,mean_pairwise_abs_gap,cross_model_sd,cross_model_range,reduces_gap_vs_unaugmented,paper_percentile
10.1111_j.1468-0262.2004.00511.x,0.6727547645568848,0.6717462539672852,0.668608546257019,0.002764145533243815,0.002162307003894196,0.004146218299865723,True,0.0
10.2307_1964229,0.7733215093612671,0.7657629251480103,0.7645550966262817,0.005844275156656901,0.004751158407639651,0.008766412734985352,True,0.049776007964161276
10.1006_obhd.1995.1015,0.6080881953239441,0.6131919026374817,0.6041514873504639,0.006026943524678548,0.00453274395505389,0.009040415287017822,True,0.09955201592832255
10.3389_fnbeh.2016.00053,0.7159646153450012,0.7139466404914856,0.7232758402824402,0.00621946652730306,0.004908499453920006,0.00932919979095459,True,0.14932802389248384
10.1111_joes.12018,0.6091117858886719,0.6035929322242737,0.6136634349822998,0.006713668505350749,0.005042986566179098,0.010070502758026123,True,0.1991040318566451
10.1628_0932456042776140,0.6885182857513428,0.6978075504302979,0.6875501275062561,0.006838281949361165,0.005663369045981212,0.010257422924041748,True,0.24888003982080636
10.1016_j.geb.2006.03.007,0.6867961287498474,0.6803766489028931,0.6754545569419861,0.007561047871907552,0.0056872366144134975,0.011341571807861328,True,0.2986560477849677
10.1098_rspb.2017.0929,0.6692796945571899,0.666947066783905,0.6560643315315247,0.00881024201711019,0.007053614898313059,0.013215363025665283,True,0.34843205574912894
10.1007_s10640-023-00759-5,0.6558961272239685,0.6471612453460693,0.6420904397964478,0.009203791618347168,0.006983411722185283,0.013805687427520752,True,0.3982080637132902
10.1016_j.copsyc.2021.06.020,0.6636894345283508,0.6490487456321716,0.6518583297729492,0.009760459264119467,0.007769798089741462,0.0146406888961792,True,0.44798407167745147
10.1007_s10663-024-09623-1,0.6121626496315002,0.598828136920929,0.614024817943573,0.010131120681762695,0.00828870731934786,0.015196681022644043,True,0.49776007964161273
10.1016_j.jtbi.2016.03.017,0.7089951038360596,0.6929115056991577,0.7026450634002686,0.01072239875793457,0.00810089797580478,0.016083598136901855,True,0.547536087605774
10.1098_rspb.2010.1275,0.6575437188148499,0.6406674385070801,0.653740644454956,0.011250853538513184,0.008852315378559437,0.016876280307769775,True,0.5973120955699354
10.1038_srep10639,0.63383549451828,0.6193167567253113,0.6364224553108215,0.011403799057006836,0.009220367286081518,0.017105698585510254,True,0.6470881035340966
10.1209_0295-5075_107_60005,0.6462646722793579,0.6462966203689575,0.6284962892532349,0.011866887410481771,0.01026781576799411,0.017800331115722656,True,0.6968641114982579
10.1016_j.obhdp.2016.02.003,0.6600921154022217,0.6410451531410217,0.6536263823509216,0.012697974840799967,0.009685726643729313,0.01904696226119995,True,0.7466401194624191
10.1111_j.1420-9101.2006.01119.x,0.6277945041656494,0.6087473034858704,0.6141113042831421,0.012698133786519369,0.009821730306770084,0.019047200679779053,True,0.7964161274265804
10.1038_nclimate1927,0.6233048439025879,0.6026912331581116,0.6167218685150146,0.013742407162984213,0.010528653296255916,0.02061361074447632,True,0.8461921353907417
10.1038_s41598-018-36486-x,0.6413623094558716,0.6279177069664001,0.6181890368461609,0.015448848406473795,0.011636185814463329,0.023173272609710693,True,0.8959681433549029
10.1016_j.jebo.2018.11.013,0.6366754174232483,0.6146187782287598,0.6134015917778015,0.015515883763631185,0.013099922618008727,0.023273825645446777,True,0.9457441513190642
10.1093_ejil_chaa009,0.6775251030921936,0.6700822114944458,0.693411111831665,0.015552600224812826,0.011916371790875886,0.02332890033721924,True,0.9955201592832255
10.1177_1043463107075110,0.6319395303726196,0.6075494289398193,0.6316335797309875,0.016260067621866863,0.01399414742567484,0.024390101432800293,True,1.0452961672473868
