custom_id,title,source_title,year,copied_pdf,source_pdf
10.1002_bdm.1976,"Race for Power in Public Good Games with Unequal, Unstable Punishment Power",JOURNAL OF BEHAVIORAL DECISION MAKING,2017.0,/Users/robinna/Documents/projects/academic-llm/LLM-literature-prediction/results/paper/main_text_figures_260427/figure5_all12_parameter_pdfs/10.1002_bdm.1976.pdf,/Users/robinna/Documents/projects/academic-llm/LLM-literature-prediction/paper_collection/WoS_251029.Data/PDF/3221365071/10.1002_bdm.1976.pdf
10.1007_s00355-021-01363-6,Voting on sanctioning institutions in open and closed communities: experimental evidence,SOCIAL CHOICE AND WELFARE,2022.0,/Users/robinna/Documents/projects/academic-llm/LLM-literature-prediction/results/paper/main_text_figures_260427/figure5_all12_parameter_pdfs/10.1007_s00355-021-01363-6.pdf,/Users/robinna/Documents/projects/academic-llm/LLM-literature-prediction/paper_collection/WoS_251029.Data/PDF/1683673949/10.1007_s00355-021-01363-6.pdf
10.1007_s10683-013-9367-7,The evolution of sanctioning institutions: an experimental approach to the social contract,EXPERIMENTAL ECONOMICS,2014,/Users/robinna/Documents/projects/academic-llm/LLM-literature-prediction/results/paper/main_text_figures_260427/figure5_all12_parameter_pdfs/10.1007_s10683-013-9367-7.pdf,/Users/robinna/Documents/projects/academic-llm/LLM-literature-prediction/paper_collection/WoS_241106.Data/PDF/4277566072/10.1007_s10683-013-9367-7.pdf
10.1016_j.geb.2007.09.004,Obligations and cooperative behaviour in public good games,GAMES AND ECONOMIC BEHAVIOR,2008.0,/Users/robinna/Documents/projects/academic-llm/LLM-literature-prediction/results/paper/main_text_figures_260427/figure5_all12_parameter_pdfs/10.1016_j.geb.2007.09.004.pdf,/Users/robinna/Documents/projects/academic-llm/LLM-literature-prediction/paper_collection/WoS_251029.Data/PDF/1851422246/10.1016_j.geb.2007.09.004.pdf
10.1016_j.jebo.2021.02.016,Favoring your in-group can harm both them and you: Ethnicity and public goods provision in China,JOURNAL OF ECONOMIC BEHAVIOR & ORGANIZATION,2021.0,/Users/robinna/Documents/projects/academic-llm/LLM-literature-prediction/results/paper/main_text_figures_260427/figure5_all12_parameter_pdfs/10.1016_j.jebo.2021.02.016.pdf,/Users/robinna/Documents/projects/academic-llm/LLM-literature-prediction/paper_collection/WoS_251029.Data/PDF/0262192741/10.1016_j.jebo.2021.02.016.pdf
10.1016_j.joep.2009.04.004,Motivating teammates: The leader's choice between positive and negative incentives,JOURNAL OF ECONOMIC PSYCHOLOGY,2009.0,/Users/robinna/Documents/projects/academic-llm/LLM-literature-prediction/results/paper/main_text_figures_260427/figure5_all12_parameter_pdfs/10.1016_j.joep.2009.04.004.pdf,/Users/robinna/Documents/projects/academic-llm/LLM-literature-prediction/paper_collection/WoS_251029.Data/PDF/0377021485/10.1016_j.joep.2009.04.004.pdf
10.1016_j.joep.2013.01.001,Strategic reward and altruistic punishment support cooperation in a public goods game experiment,JOURNAL OF ECONOMIC PSYCHOLOGY,2013.0,/Users/robinna/Documents/projects/academic-llm/LLM-literature-prediction/results/paper/main_text_figures_260427/figure5_all12_parameter_pdfs/10.1016_j.joep.2013.01.001.pdf,/Users/robinna/Documents/projects/academic-llm/LLM-literature-prediction/paper_collection/WoS_251029.Data/PDF/0527271028/10.1016_j.joep.2013.01.001.pdf
10.1016_j.joep.2016.03.002,Second and third party punishment under costly monitoring,JOURNAL OF ECONOMIC PSYCHOLOGY,2016.0,/Users/robinna/Documents/projects/academic-llm/LLM-literature-prediction/results/paper/main_text_figures_260427/figure5_all12_parameter_pdfs/10.1016_j.joep.2016.03.002.pdf,/Users/robinna/Documents/projects/academic-llm/LLM-literature-prediction/paper_collection/WoS_251029.Data/PDF/2446351837/10.1016_j.joep.2016.03.002.pdf
10.1016_j.socec.2018.03.007,Leadership with individual rewards and punishments,JOURNAL OF BEHAVIORAL AND EXPERIMENTAL ECONOMICS,2018.0,/Users/robinna/Documents/projects/academic-llm/LLM-literature-prediction/results/paper/main_text_figures_260427/figure5_all12_parameter_pdfs/10.1016_j.socec.2018.03.007.pdf,/Users/robinna/Documents/projects/academic-llm/LLM-literature-prediction/paper_collection/WoS_251029.Data/PDF/1038589103/10.1016_j.socec.2018.03.007.pdf
10.1038_s41598-020-64930-4,The role of peer reward and punishment for public goods problems in a localized society,SCIENTIFIC REPORTS,2020.0,/Users/robinna/Documents/projects/academic-llm/LLM-literature-prediction/results/paper/main_text_figures_260427/figure5_all12_parameter_pdfs/10.1038_s41598-020-64930-4.pdf,/Users/robinna/Documents/projects/academic-llm/LLM-literature-prediction/paper_collection/WoS_251029.Data/PDF/2649044001/10.1038_s41598-020-64930-4.pdf
10.1111_j.1465-7295.2007.00051.x,The effect of rewards and sanctions in provision of public goods,ECONOMIC INQUIRY,2007.0,/Users/robinna/Documents/projects/academic-llm/LLM-literature-prediction/results/paper/main_text_figures_260427/figure5_all12_parameter_pdfs/10.1111_j.1465-7295.2007.00051.x.pdf,/Users/robinna/Documents/projects/academic-llm/LLM-literature-prediction/paper_collection/WoS_251029.Data/PDF/3788994706/10.1111_j.1465-7295.2007.00051.x.pdf
10.3389_fnbeh.2016.00053,"Counter-Punishment, Communication, and Cooperation among Partners",FRONTIERS IN BEHAVIORAL NEUROSCIENCE,2016.0,/Users/robinna/Documents/projects/academic-llm/LLM-literature-prediction/results/paper/main_text_figures_260427/figure5_all12_parameter_pdfs/10.3389_fnbeh.2016.00053.pdf,/Users/robinna/Documents/projects/academic-llm/LLM-literature-prediction/paper_collection/WoS_251029.Data/PDF/3522114935/10.3389_fnbeh.2016.00053.pdf
