index,kind,repeat,mean_spearman_rho,min_spearman_rho,max_spearman_rho
0,collections,rep1,0.24148827234489528,0.14229957486127284,0.4351302057948392
1,collections,rep2,0.2394491357276935,0.16205710996488426,0.4479893671495461
2,collections,rep3,0.22573521415269765,0.1072551838343467,0.3728637920138982
3,collections,rep4,0.26398706652682813,0.16369802697377892,0.4516474758585521
4,collections,rep5,0.24927299505057993,0.17698448995542287,0.3930455631044699
5,papers,rep1,0.17079640253941855,0.10398178716773704,0.24584822731674683
6,papers,rep2,0.18978901695174893,0.12323192515652576,0.2437539650415557
7,papers,rep3,0.18580483097371187,0.07825996238744076,0.2720758713707364
8,papers,rep4,0.18865142046582747,0.10365550353009549,0.2660186552547641
9,papers,rep5,0.17599353050766128,0.11244042171803523,0.2740149630316877
