item_type,model,feature_key,feature_label,coef,ci_low,ci_high,n,repeat
Individual papers,GPT-4.1,journal_impact,Journal Impact Factor,0.00024267036391649978,-0.0019923192344287522,0.002000192696026814,2011,rep1
Individual papers,GPT-4.1,citation,Citation,0.00041344006160002743,-0.0012989644991388627,0.0026095369830776774,2011,rep1
Individual papers,GPT-4.1,empirical_share,Empirical papers,-0.0025291831032720675,-0.005301385914466435,-0.0009222050132968555,2011,rep1
Individual papers,GPT-4.1,recent,Publication Year,0.00014098689191482716,-0.00148128436873059,0.001930789461192542,2011,rep1
Individual papers,GPT-4.1,biology_share,Biology Journals,-0.00010081067716798169,-0.00225005028292767,0.0015525213960042947,2011,rep1
Individual papers,GPT-4.1,economics_share,Economics Journals,-0.0023380800135506152,-0.004671895618966572,-0.000795160210659687,2011,rep1
Individual papers,GPT-4.1,psychology_share,Psychology Journals,9.380127166379972e-06,-0.0018030430483819482,0.0017582108982955639,2011,rep1
Individual papers,GPT-4.1,mathphysics_share,Math/Physics Journals,0.0007146914725916478,-0.001821209323640231,0.002134758341998864,2011,rep1
Individual papers,GPT-4.1,multidisciplinary_share,Multidisciplinary Journals,-0.00027421342149393333,-0.002797860752020139,0.001124979235893774,2011,rep1
Individual papers,GPT-4.1 Mini,journal_impact,Journal Impact Factor,0.0016359852929159235,-0.0016757117763739426,0.005616147386168243,2011,rep1
Individual papers,GPT-4.1 Mini,citation,Citation,-0.004848180223193194,-0.009132371589710277,-0.0005452376061666921,2011,rep1
Individual papers,GPT-4.1 Mini,empirical_share,Empirical papers,-0.011119587886925178,-0.01464762481160689,-0.007417135594103339,2011,rep1
Individual papers,GPT-4.1 Mini,recent,Publication Year,-0.004843785019920816,-0.008570302707744223,-0.0014483759721455303,2011,rep1
Individual papers,GPT-4.1 Mini,biology_share,Biology Journals,-0.0006953850814240636,-0.0037165068647673966,0.002297788195354773,2011,rep1
Individual papers,GPT-4.1 Mini,economics_share,Economics Journals,-0.008712969903993239,-0.01251485408960449,-0.004319328140804753,2011,rep1
Individual papers,GPT-4.1 Mini,psychology_share,Psychology Journals,-0.00014599465152086583,-0.003578961377654061,0.0031076189106564915,2011,rep1
Individual papers,GPT-4.1 Mini,mathphysics_share,Math/Physics Journals,-0.00241276319788867,-0.006150522109137661,0.001507309665069039,2011,rep1
Individual papers,GPT-4.1 Mini,multidisciplinary_share,Multidisciplinary Journals,-0.002311416888749769,-0.006074908052164909,0.0013741005978530887,2011,rep1
Individual papers,GPT-5.1,journal_impact,Journal Impact Factor,0.005137816575879238,-1.023003930331399e-05,0.01081612818831196,2011,rep1
Individual papers,GPT-5.1,citation,Citation,-0.004892040925316323,-0.011480934075341726,0.0001916827615818309,2011,rep1
Individual papers,GPT-5.1,empirical_share,Empirical papers,-0.007466842961364033,-0.012928705497802928,-0.002853042291799753,2011,rep1
Individual papers,GPT-5.1,recent,Publication Year,-0.002959852106380418,-0.008356634305843604,0.0013883135927698028,2011,rep1
Individual papers,GPT-5.1,biology_share,Biology Journals,0.0011366489104133158,-0.002511659611910592,0.005326049414006657,2011,rep1
Individual papers,GPT-5.1,economics_share,Economics Journals,0.00394444171316658,-0.0006067588082217381,0.009504401371629022,2011,rep1
Individual papers,GPT-5.1,psychology_share,Psychology Journals,-0.004494007934264028,-0.008573761708576547,7.533284000707799e-05,2011,rep1
Individual papers,GPT-5.1,mathphysics_share,Math/Physics Journals,0.0001193838807067426,-0.0034503603374164246,0.004126450518816045,2011,rep1
Individual papers,GPT-5.1,multidisciplinary_share,Multidisciplinary Journals,-0.0013241937321503872,-0.0056187651389702185,0.0030716316400093723,2011,rep1
Individual papers,GPT-5 Mini,journal_impact,Journal Impact Factor,0.0008855390556142469,-0.0018464464512401534,0.004901493723998652,2011,rep1
Individual papers,GPT-5 Mini,citation,Citation,-0.0003637670278951348,-0.004115974481235324,0.002617921416145396,2011,rep1
Individual papers,GPT-5 Mini,empirical_share,Empirical papers,-0.0049692431281588055,-0.010474802448609455,-0.00278256287316551,2011,rep1
Individual papers,GPT-5 Mini,recent,Publication Year,-5.251997009154228e-05,-0.0032559090877194445,0.0032666637252871267,2011,rep1
Individual papers,GPT-5 Mini,biology_share,Biology Journals,0.0021338445117062904,-0.0003028554933535547,0.004802203689797364,2011,rep1
Individual papers,GPT-5 Mini,economics_share,Economics Journals,-0.0018977402732028963,-0.00476079011990074,0.0013665513591126653,2011,rep1
Individual papers,GPT-5 Mini,psychology_share,Psychology Journals,-0.0007193625354813569,-0.0034837403985105877,0.0019725079172310143,2011,rep1
Individual papers,GPT-5 Mini,mathphysics_share,Math/Physics Journals,0.00010488385247850834,-0.004560023966867807,0.0021974091839172417,2011,rep1
Individual papers,GPT-5 Mini,multidisciplinary_share,Multidisciplinary Journals,-0.000576773866332441,-0.004028330723026641,0.0017118830847829844,2011,rep1
Individual papers,GPT-5 Nano,journal_impact,Journal Impact Factor,-0.0017487272143386248,-0.005721632505787882,0.0020131980114844166,1998,rep1
Individual papers,GPT-5 Nano,citation,Citation,-0.0018395913109386672,-0.006508858730997354,0.0020243644525710083,1998,rep1
Individual papers,GPT-5 Nano,empirical_share,Empirical papers,-0.005960767728752131,-0.010477414629167391,-0.0017459090808129942,1998,rep1
Individual papers,GPT-5 Nano,recent,Publication Year,-0.0023082677687193643,-0.006460013643441293,0.0013823165864000136,1998,rep1
Individual papers,GPT-5 Nano,biology_share,Biology Journals,0.0031780167676374927,0.00036580576544085173,0.006382112011216235,1998,rep1
Individual papers,GPT-5 Nano,economics_share,Economics Journals,0.0013590980860136543,-0.0022913719359276626,0.0065337940653045525,1998,rep1
Individual papers,GPT-5 Nano,psychology_share,Psychology Journals,0.004963214274103688,0.0018052564525842052,0.009476047558482874,1998,rep1
Individual papers,GPT-5 Nano,mathphysics_share,Math/Physics Journals,-0.002506410440034642,-0.00634143585328656,0.0012974860850337854,1998,rep1
